"","sentiment","comments"
"1","NEGATIVE","I am eagerly waiting for the “discoveries” of this Pattex advertisers etc. to finally be a thing of the past."
"2","NEGATIVE","Now our chancellor soon managed to ruin this country. I didn't think she was afraid to be ridiculous with her statements 😂"
"3","NEUTRAL","Mrs. Merkel, the spouse of Fred Feuerstein, does not have the pale glow of digitalization, economy and progress. She managed to bring Germany far behind during her reign. Germany used to be innovative, and now we are decaying into the wasteland."
"4","NEUTRAL","“Data is the new oil”

“Schnarchland” Germany is only a bit late. The “oil sources” have long since secured others.

Amazon, Facebook, Google and Co. rub their eyes if such statements are unbelievably - if they have not fallen from the chair with laughter.

The banks who hoped to build “giropay” as a competition with PayPal had to recognize this. With moderate success, as can easily be seen by the sales figures.

Revenue Paypal: 15,500,000,000 USD (in words: 15.5 billion) 
Turnover giropay 00.000.470.000 EUR (in words: 470 thousand)"
"5","NEUTRAL","Addendum:
In Germany, 90% of online sales are used by Paypal.

The remaining 10% share giropay, paydirekt etc.

giropay started with the hope that potentially 45 million customers in Germany can “use” it - as can be seen by the sales figures, however, the reality states that hardly anyone changes the payment system if they have chosen one.

Why should someone who is registered with Paypal switch to another payment system?"
"6","NEGATIVE","When you hear what is spoken, you can only see that you leave the country if you want to have a future. So much clueless makes you mute! Can anyone tell Mrs. Merkel that sitting around in the chancellery is no longer worth..."
"7","NEUTRAL","“Digitalization is going to change our society dramatically, it is already doing it today” she has been doing this since 1837, since Braille, Morse alphabet, telephone and radio technology, and e-mail. As a physicist, you don't have to know these facts, and as a Federal Chancellor, don't you?"
"8","NEGATIVE","I have my doubts about your qualities as a physicist. I was able to get a picture of science in the former Soviet Union at the time, in the GDR it will have been similar."
"9","POSITIVE","Not only on the subject: warning, criticizing, rejecting, worrying, rebellishing, blocking, demonstrating - that seems to be the commandment. Positive, innovative, courageous, at least friendlier and more peaceful. And this, unfortunately, not only in government and politics"
"10","NEGATIVE","You can only shake your head with the comments at this point: the nationwide expansion of the mobile network is probably a matter for the network operators - and not for the federal government! And how often does the construction of a mobile phone pole fail due to the exploitation of the right path by “worried” local residents!"
"11","NEUTRAL","She picks up an old theme and wants to profile herself with the old outcast theme. How striking is that trying to stuff the holes as if she had come on it alone.
The state has collected 6.55 billion in the last auction of the 5G mobile radio licenses and now our BK is announcing to use 1 billion to close the radio holes. Where do we live??"
"12","NEGATIVE","Please help everyone change this government. It can hardly be worse. There are also orange vests."
"13","POSITIVE","@Jörg S., If someone organizes the change possibilities, I'm happy to help with the ""Modify”. I'd have a yellow vest. But the organizer must also be a lawyer, eloquent; also a leader, etc. It must happen nationwide, simultaneously and star-shaped, towards Berlin. ""Who knows?"
"14","NEUTRAL","The government has correctly recognized that after the next Bundestag election many of its current MPs will disappear in the sink, because a new authority is the right catcher. With the supervisory board and advisory board, as has proven itself at Berlin-Brandenburg Airport. The radio hole completely replaces the government."
"15","POSITIVE","A stunned man/woman can only shake his head over this knowledge. Would be glad of an early choice!"
"16","NEGATIVE","This woman just makes me angry. As the most powerful woman in the world, as the savior of Europe and as the economic guarantor of a thriving Germany."
"17","NEUTRAL","Hurray, again a new society in which posts can be awarded to “qualified” party members again. At the Bauakademie in Berlin it worked wonderfully.
Why couldn't it be integrated into existing structures? Then there would be no need for a new Supervisory Board, Executive Board or Advisory Board. A separate department would have been sufficient.
How much of the one billion euros flows into the “water head” and how much is actually spent on the expansion?"
"18","NEGATIVE","You can't get my data.
Funny also the discussion about Huawei. 
Has anyone read the article about Amazon in the World on Sunday?
Mrs Merkel apparently yes, just with the other angle of view, that of Bezos."
"19","NEUTRAL","In 2013, the Internet was still new ground.
The complete quote:
 “The Internet is new territory for all of us, and it naturally also allows enemies and opponents of our democratic basic order to endanger our way of life with completely new possibilities and completely new approaches.”
Six years later, Merkel is one of the leading (self-proclaimed) experts in digitalization."
"20","NEGATIVE","The worrying thing about her statements is that Merkel often makes hints in subparagraphs that cost the taxpayer a lot of money. 

The only clear thing about their statements is that nothing is clear."
"21","NEUTRAL","I would have handed over the task of network expansion to the Federal Network Agency. BNetzA regulates only the telecommunications market, but could also take care of the further expansion of the network with additional staff. That would be much cheaper than starting a supply post subsidiary. You can imagine how much of this money will arrive on the mobile network..."
"22","NEGATIVE","“According to the strategy, the company is to be established as a subsidiary of the state truck toll operator Toll Collect with its own supervisory board. It will be supported by an advisory board composed of representatives from the federal government, the state and local authorities. “

And the last one is the deadly sentence!
So all hot air, alone due to the composition of the on-“ council” nothing will happen..."
"23","NEGATIVE","“In addition, the state can spend a lot of money, including on investment. “

Also for investments? 
Yes, there is money in excess, since one persistently refuses to give the taxpayers something back or to reduce the tax burden. At least one would spend it meaningfully. For example, for investments, infrastructure, digitization, AI, education, research, etc. Instead, a huge amount of money is sunk into the social, with an ever-increasing tendency to buy voters. But this will not benefit our country, it will break."
"24","NEGATIVE","Others discovered the “new oil” 30 years ago. But at least better late than never. Now please have a late look in other areas."
"25","POSITIVE","Don't let them get irritated.
Everything that woman gives of herself could have been done years ago.
She just tries to collect pluses."
"26","POSITIVE","As always, when you enter new territory, you should take special care. But we can do it!"
"27","NEGATIVE","“Merkel said that data is the “new oil” today. Data is a raw material from which new business products should be created.”

Hm, is this “new oil” the stuff Google has earned for many years stupid and stupid? Then it could be compared to the Internet, which appeared on the agenda relatively recently. I think we were talking about “new land” (2013). 

To stay in technology, there are upgrades and updates. How about that? 
If you're late, a relaunch would be possible. 
Only you shouldn't tie the other on your neck like that, if you don't know."
"28","NEUTRAL","When yesteryear's eternally fabulate about new technologies, you can only fear and fear."
"29","NEUTRAL","If I didn't miss it, this billion is ultimately a gift to the mobile operators. And who runs and maintains these radio towers?
And this new company is to be installed “as a subsidiary of the state truck toll operator Toll Collect”. This will be a permanent setup, guaranteed. New posts for halted politicians?"
"30","POSITIVE","@Thomas R, exactly, you can do both. 
The benefit should be clear to everyone.
All with a 24 months 4GB toggle contract, can consume their data volume in under 2 seconds with 5G."
"31","NEUTRAL","What has so far been hardly mentioned in the discussion are also issues of nature protection, especially landscape protection. 

The 5G standard requires a large number of rather small-scale radio cells and thus systems. And this is also quite widespread “outside” in the landscape, if the most complete coverage of even the smallest interurban roads (keyword autonomous driving) is to be established. This will also affect many protected areas, for example. 

We can look forward to the upcoming discussions."
"32","NEGATIVE","5G is not intended for use in the area either."
"33","POSITIVE","By digitization, Mrs. Chancellor clearly understands that you can watch funny cat videos on your mobile phone anywhere in Germany."
"34","NEUTRAL","Yeah, and?
That's what the local politicians do here in the city.
So stringent action from A to Z!"
"35","NEGATIVE","The mobile operators should have expressed solidarity and boycott the auction together. Instead of the necessary expansion, for which there is no longer enough money left, the money went into the barrel without the bottom of the Merkel waste of money."
"36","NEUTRAL","Can it be that you drive so 5G forward with the reason to close the spark holes in order to keep the resistance small"
"37","NEUTRAL","We should rather invest in education and our manufacturing industry, because only services and digitalization can no one live in the long run."
"38","POSITIVE","I can recommend the book 21 lessons for the 21st century by Yuval Nosh Harari - why you are right, but in the long term wrong with your statement for Germany"
"39","MIXED","I think rather the oil that she has discovered comes from her oil leak, because really lubricated run on the already long no gears anymore."
"40","NEUTRAL","I would be interested in how you can use data to operate a heating system. New oil probably only when it comes to making money."
"41","NEGATIVE","Most probably will no longer experience the great digitalization and network expansion.

Am now 41"
"42","NEUTRAL","It is logical that, after the destruction of the landscape by thousands of giant wind turbine masts, the acceptance of such structures as mobile masts has suffered considerably. 
There are other technical solutions than just radio poles.
Germany has often only invested half-heartedly in the right innovations for 20 years.
Does this have anything to do with the SPD's government participation?"
"43","NEUTRAL","The state wants a “mobile infrastructure society”. How much has the word designer and historical consultant taken from the billion?
If the state already founded such societies, I would once again tap a billion burial."
"44","NEGATIVE","Why is the only way to talk about mobile communications? What about the gaps in broadband expansion?
A look at the broadband atlas is enough to see that there are massive problems."
