"","sentiment","comments"
"1","MIXED","The problem is that most politicians do not have close expertise. Unfortunately, even the least of them have ever worked in the free economy. If ideological bornness is added, the chaos is perfect.

Without a flourishing economy and a very busy labour market, no tax revenue will be generated. But this simple basic understanding is missing from many completely."
"2","NEGATIVE","That this government and politicians are more likely to violate the GG has been known since 2015, but unfortunately the illegal action remains without consequences"
"3","NEUTRAL","Parts of the Berlin Senate think of themselves in the purest socialism. You can quickly be guided by your ideology."
"4","NEUTRAL","For me, the only relevant question: Which federal state dares to finally turn off the financial tap in the context of the Länder Finanzeeequalisation of the Bötländer Republik Berlin? The communist fluidity and laziness of the Berlin Senate are boundless and far from the end. As long as the money bubbles, this spook will not end - worn by voters who have nothing to do with value creation and diligence."
"5","NEGATIVE","Sorry but here in the Ländle it is no different. Just don't get so publicly. Our station here is devouring such sums. Not solemn anymore. Politics have lost any relation to reality wherever you look. If a small entrepreneur allows himself to make a tiny mistake, he will pay for it dearly. There is thought about the duty to master craftsmanship. Only in politics where a “mastery duty” would be appropriate. There's no such thing"
"6","NEUTRAL","In Berlin, many things violate the Basic Law. For example, the “right to physical integrity” is highly endangered if you are a taxpayer and move to a residential area dominated by the squatter scene or rented there, attracting attention. For the left-anarchists, an apartment that has a better standard than a downed ruin or costs a little more than nothing, and you as a “capitalist” are physically extremely endangered."
"7","POSITIVE","What excites me most is the unprecedented amount of money being squandered right now. Courts and theater for nothing and again nothing. More and more often we see that any strange things are being passed. The administrative apparatus immense. All the costs that are paid on our backs. Be it tolls, rental covers, airports, unthought-out large-scale construction sites. You can expect that before you make something, the whole thing is tested and thought out. No, instead of cost more and more. When I do a job like our politicians as a worker, I get rid of my job. But here we are pushed and sounded, this is no longer solemn. All the humbuck that the gentlemen have screwed up in the last three years alone. That would have been billions of relief. Instead, it could have been taken care of. That the payroll bag is not ripped like that. Then we can afford to live again."
"8","NEUTRAL","Yeah, that's how ideology dictates politics. The Red-Red-Greens want to implement their socialist (nightmares) dreams in Berlin - and they quickly get together with the rule of law. On the basis of this example, one can clearly see what constitutes the quality of the rule of law, among other things: it compares the interests of different groups and then pours this consensus into the form of law. Politics with the crowbar (in this case GDR style) immediately violates the rights and interests of some parties involved in the overall process. Have fun turning up the shard pimp! 
Oh yes, was it not a Berlin government that consisted of two of the three current government partners, which, in the last decade, has wasted thousands of social housing belonging to the Land of Berlin to investor groups? My dear husband - the Red ones in Berlin are really on it. First they make one on turbo capitalist and shamelessly shamelessly shelling valuable public possessions (almost without getting red) and now they are making a 180 degree turn and use socialist fantasies of expropriation. Even if the ruling mayor was still called differently in the era of worsening - a political course that can be trusted looks different."
"9","NEUTRAL","Now it's not just the Berlin government that rules past its citizens. Hardly one does it differently. And also those who are not ruled red or green."
"10","NEGATIVE","“Berlin rental cover should violate the Basic Law”

Did anybody seriously think it wasn't like that?"
"11","NEUTRAL","If that were the case, it would certainly have been in the way of finding this “fact”. Enough lead time was available, the promotion was announced long enough. 

In return, however, as a European group, I would consider who would be the beneficiary at the end of the day if the competence of the country can be thrown over with supposedly functioning federal norms?
I mean, there was a historical event that ensured that federal independence had entered our GG."
"12","NEUTRAL","If the law actually turns out to be unconstitutional and additional payments should be due, then who pays? The tenants, the city or the taxpayers of Bavaria, Baden-Württemberg, Hesse and Hamburg via the state financial compensation."
"13","NEUTRAL","It is written in the text: 
If only later a court would tilt the rental cover, “chaos” would be threatened. The tenants would pay a large amount of additional payments."
"14","NEGATIVE","Well, nothing else could come out of a troupe of unsuspecting and dropout. The wasted hours these people were supposed to be working in a volunteer service. I call this kind of working time fraud because it was already foreseeable before that it was pointless."
"15","NEUTRAL","If the Berlin Senate does not get the lease cover in a democracy, they will probably switch to socialism in Berlin. Then it works."
"16","NEUTRAL","That's what lawyers explain right from the beginning."
"17","NEUTRAL","Finally something sensible from Seehofer"
"18","POSITIVE","Oh, Gottchen, the CSU rubs on Berlin, that can be cheerful.
I'll get the popcorn."
"19","NEGATIVE","“The draft law implies the freedom of ownership of the apartment owners, according to the mail, which was sent on 31 October.” 
Yes, that doesn't matter R2G - that's the thoughts of the Socialists. 
Even worse, R2G enacted unconstitutional laws - this would have to be observed by the protection of the Constitution, if you take it very carefully. 
I find the whole left-wing political situation in Germany only counterproductive and ill. What kind of heads govern our country?"
"20","NEUTRAL","And Seehofer's party should then be observed because of the Scheuerschen toll campaign or Christian Schmidt's glyphosate approval."
"21","NEGATIVE","“Already now, the proposed law is damaging because rents are increased and refurbishments are postponed.”

And that's just the beginning. Nobody or very few will be rented apartments building welce. Apartment which are currently rented, then sold to people who want to live in it themselves. So the offer of rental apartments in Berlin is getting scarce."
"22","NEUTRAL","Berlin could prosper like Singapore. Instead, the Berlin left will tear the whole country into the abyss!"
"23","NEUTRAL","I didn't expect anything else from our expensive players.
Or should one say amateurs?"
"24","NEGATIVE","The high rents are stylized into a conflict between good and evil, from west and east or from poor and rich.

None of this is true. Rather, rents in cities are the result of a failed policy. 

First, social housing is sold to fill the grim coffers, then they are raised almost 100%. 

The requirements for energy standards or barrier-free apartments (elevator systems) are increasingly exacerbated and conversions are only approved if thousands of specifications are met and possibly very expensive modifications are implemented additionally. 

An example. Water heating must no longer be done centrally - as in many houses for 70-80 years. But now Legionella can arise when the water is in the pipeline. Means the warm water is treated decentrally. 

This costs approx. 2,000 EUR per apartment (technology). The technique lasts 20 years alone this costs almost 9 EUR per apartment per month. Even more extreme is when building new - one square meter costs at least 2,500 EUR under construction. After 25 years, the point should come at which this is again “in”. Therefore, EUR 8.33 per month (net) must be spent on this alone. Now the landlord has to tax the income. On the one hand, he may write off the 4.17 EUR per square metre, but counts at least 2.50 EUR tax per square metre.

Under 10 EUR/m2, nothing runs.

As a result of this failed policy, rents are rising. And then the landlords who rent apartments to improve their pensions or invest assets will be punished and virtually expropriated. 

That's wrong. It's just wrong. And if the Constitutional Court sees it that way, I still have hope for the country. The problems have to be solved differently. Higher housing allowance, better depreciation (degressively for new buildings).

The refugees, too, could have been spread over the area rather than further burdening the tense rental markets of the cities."
