"","sentiment","comments"
"1","NEGATIVE","Socialism? Who chooses socialism? Who chooses The Greens? Every voter should read before the election, about socialism/communism and what sorrow it has brought to people."
"2","NEUTRAL","Quote: “With the Greens, women decide whether to debate”

That's probably the famous “equality” that's all the time, right?"
"3","NEUTRAL","Funny is that the women's quota must be at least 50%, i.e. the men's quota may fall below 50% if that is not undemocratic, what is it then?"
"4","NEGATIVE","Oh, yes... and obviously men also voted for this mischief. What do the Greens take??"
"5","POSITIVE","I can't believe it! Not only through this report, no, for about four years now, I have the dull feeling that the so-called women's quota is trying to squeeze out more and more men, especially old white men, and they are now cooked so softly that they let everything happen to them. No wonder these so-called women constantly roar “new men needs the country”. Mrs KGE has been looking forward to it for so long. Go on, do you do the favor, sit quietly on your sofas and look at it from afar - still -"
"6","NEGATIVE","A party that doesn't think of equality is something like that of the 19th century and unelectable for me."
"7","NEUTRAL","Hold it! Isn't the party that opposes the construction of EFH also the same party that wants to fill the country with ever new people?"
"8","NEUTRAL","Yeah, yeah. But that fits together...
It must then also be “compacted” structurally."
"9","NEUTRAL","And they want to fight the climate crisis with feminism! I'll laugh later when it's time..."
"10","NEGATIVE","The water rises and everyone knows the fat floats. The female penalty consists almost exclusively of it. I have to buy swimming wings, not feminists. 
Think why Greenpeace has such problems with American feminists. They don't know if you have to keep them feutch and push them back into the sea.
#freewilly #sarkusmus2 .0 #ich am not but"
"11","POSITIVE","The Greens have rediscovered the ecnomy - suspected of Nobel Prize. I have a scarce estate (apartments). I make it particularly difficult for all who produce (or want to produce) this scarce commodity (taxes on it, bans and bans). However, I expect that I will have a surplus of this good (apartments) in the foreseeable future. Wow!!!"
"12","NEUTRAL","Otherwise, coercive measures will come. Mr Habeck has already expressed his admiration for the strength of the Chinese state in domestic policy."
"13","NEGATIVE","So that's so much that the Robert now always has to ask for permission at the super competent Annalena - aka “the Goblin” if he wants to present new great bans? (*at super competent would have made me almost laugh myself in my pants)"
