"","sentiment","comments"
"1","NEUTRAL","Lawyer Sayn-Wittgenstein knows how to express herself, and as far as her AfD membership is concerned, the last word is not spoken. I am now waiting for those who have carried out their exclusion at the Bundeparteitag, for example Meuthen, who has not been nominated as a party congress delegate in his own district association."
"2","MIXED","The lady follows the rule of all right-wing extremists, it still goes a step worse.

If the boar Stegner throws himself into battle, he does so without squeamidity. Hearty words are said quickly. But it means a huge difference whether one consistently denies or relativises the crimes of the Hitler dictatorship. Persons of such attitude are absolutely unworthy of a state parliament. The ad is appropriate, a sign of political reason."
"3","NEGATIVE","She was excluded from the party because of misconduct but the main thing in the heading is again AFD with it. The ad is okay but has nothing to do with the party.
And as they have already charactered Mr Stegner, he should not be so sensitive."
"4","NEGATIVE","“When will the first green-red-black reeducation camps come, when will the first concentration camps of the new Nazis come? “Sayn-Wittgenstein continues: “This (...) feels like dictatorship. At the latest, the regime has dropped Merkel's mask. When are the first ones picked up? “

Well, let's be honest - politically correct, the statement is certainly not. But where is the concrete insult here and where is the incitement of the people? 

Isn't it the case that Stegner with his tweet from 2016 “remains a fact, you have to attack positions and personnel of right-wing populists because they are yesterday, intolerant, right-wing and dangerous!” with reference to the German Civil Code § 130a (Instructions for Offences) and § 130 (Incitement to People's Incitement)? In addition, it claims to everyone in its statement that all attributes mentioned therein apply to the positions and staff of the AfD. Thus, § 185, 186 and/or 187 StGB may still be considered with regard to staff... Apparently, he's not such a blank sheet when you evaluate his way of communication. So, whether the right person has made the ad, in my opinion, is questionable - just as its content..."
"5","NEGATIVE","@Ronny K.

1.) Once you have to explain what is offensive or incitement about the utterance, I dare predict that you will not accept the explanation.
2.) Does a crime depend on who made the complaint for you? - It's worrying.
3.) If you want to take action against Stegner's statements in 2016, go ahead, good luck."
"6","NEGATIVE","I watched the video of this woman and was once again horrified at the masked and robotic style of her talk. Memories of long-forgotten interviews with East Bloc officials and RAF terrorists rose up in me again. Just like then: this complete captivity in one's own ideological cage, The evident break with reality. Creepy."
"7","NEGATIVE","See how your applicable comment is evaluated here. 
This is a cause for concern! 
It's bad!"
"8","NEUTRAL","@Michael S. There are deputies of the left and the SPD who are set to the extreme left or how do they explain themselves a Fr. Renner with their ANTIFA sticker on the lapel in the Bundestag?"
"9","NEUTRAL","@Tania M., schools have to teach politically neutral. What educators think politically they can tell their circle of acquaintances after work. Any questions? 🤔"
"10","NEGATIVE","Hard tobak, no doubt. But Stegner's loudest calling for the prosecutor is hard to beat in double standards. He's the first one to throw around with completely inappropriate Nazi comparisons."
