"","sentiment","comments"
"1","NEUTRAL","How about just putting the money in schools? When expanding the network, I see the providers as a duty!"
"2","NEUTRAL","The picture of the Federal Cabinet shows one luminary next to the other. And all 20 years of our era back. 
No dear people: no progress in sight. The demand for catching up is bought at billion. Just to reach the edge of the box."
"3","NEGATIVE","Germany should probably stop by to other EU countries, they get it, but we don't. Not to mention the increasing problems with receiving or mobile Internet. I live in Berlin-Mitte and have trouble and need, that times the LTE, respectively 4G sign is displayed. Sometimes complete failure of a few minutes or hours."
"4","NEGATIVE","Mr Scholz, you should collect the powdered toll billions of Mr. Scheuer and then take another billion to reduce the German civil servant monster.
There would still be money left to create the single pension. What do I mean with it?
> Pensioners, civil servants, self-employed doctors, etc., politicians etc., all integrate into a single pension system. 
 If not, then your beautiful DEMOCY will be flying around your ears at some point
 Take a look beyond the borders > with yellow vests it starts!!"
"5","NEGATIVE","How ridiculous are the demands of the SPD??? I lived in NL until 7 years ago and there it was already standard..."
"6","NEGATIVE","Farmers will be helped to “build 5G networks on their arable land”. You won't be able to eat the radiation. The frivolous representatives of the people should rather familiarize themselves with the possible dangers of this new technology. 5g should not be installed in Brussels. Why don't you think so?"
"7","NEUTRAL","Why is it called “the government pays”? The government has no money, the money comes from the taxpayers. So why is the taxpayer not involved in the profits of the corporations?
@Greta G.: On the on-shore wind turbines you can attach the transmitter/receiver all around, there you don't even need your own radio masts. Anyone who wants to. It's not wanted. Germany inhaled Merkel's capitalist socialism."
"8","NEUTRAL","At every on-shore windmill a radio pole would already help"
"9","NEGATIVE","I am surprised that no redistribution and expropriation are being discussed in the radio towers, which are justified by the citizens as inclusion of adults or the avoidance of EU limits on electrosmog"
"10","NEUTRAL","Why at the sight of Scholz on the photo I see that the administrative expenses alone will devour about 1 billion euros.."
"11","NEGATIVE","Well, if you take into account the cost of the advisors... then the $1 billion won't be enough, that's clear."
"12","POSITIVE","I think it is remarkable and exemplary that Minister Scheuer has declared himself ready to set up a mobile phone tower in the immediate vicinity of his house. People cannot be more impressed by fear of possible radiation exposure. Hats off, Mr. Scheuer!"
"13","POSITIVE","Mr. Scheuer understood that the closer you are to the nearest base station, the radiation from the smartphone on your own ear will be the smaller the radiation from your smartphone.
And that is the crucial point. The energy emitted and absorbed by the body comes almost exclusively from its own device. In comparison, there is almost nothing to expect from the 60m aerial on the roof, which can be neglected.
With every further meter distance, there is less and less.
So Mr. Scheuer acts rationally and with political calculus, he is not heroic..."
"14","NEUTRAL","Wowww, a billion, you can buy a lot of cables and masts.
Or is the big part of it already for the consultants?"
"15","NEGATIVE","Now say one more thing that the government does not do anything for the population. A billion for the people to finally meet the needs of the constantly complaining people. It's coming over like they're paying for us out of their own pocket. What do you know as a small consumer, when you negotiate with a craftsman, you decide beforehand what is where to do, in what period and how expensive it can be. No one has even thought of minimal self-evidences here."
"16","NEUTRAL","Well, yes, with numbers like that, I have my doubts anyway. Here's a billion, there's five, there's two... I hope there are experts behind the politicians who have calculated the whole thing a little more precisely. Where is a mast, how much does construction and operation cost, etc. Not that in the end there are a few spots left: -)"
"17","NEGATIVE","It would be enough for me to have a working landline with internet access, which every German citizen should have since the beginning of 2018 and that has not become. Greeting from the Ruhrpott"
"18","NEUTRAL","A further article will be reported on how digitalisation and de-bureaucratisation is progressing in Germany: Cash receipt!"
"19","NEUTRAL","Why do you have to apply for child benefit, for example? The act of birth in conjunction with the residence is quite sufficient. Both are known to the authorities."
"20","NEUTRAL","“The act of birth in connection with the residence is quite sufficient. Both are known to the authorities.” - Oh, not, “The authorities” do not exist here. There is authority A, authority B, authority C etc. which can or may not communicate with each other, the data protection! You can then run as a messenger from A to B to give it signed to C."
"21","NEUTRAL","To expand more than one million of our taxpayers' money by 1% of the network?
I assume that after questioning various consulting firms is expected to be scarcely on edge and the amount will be doubled later? But this is not foreseeable before...; -)"
"22","POSITIVE","Actually, mobile phone technology consumes quite a lot of energy. Here you could save instead of turning off people's heating or making them so expensive that they can only freeze. And the older generation knows well that you can live happy and satisfied even without being online constantly (or at all): -)."
"23","NEUTRAL","If the gap is financed by taxpayers' money, will tariffs be cheaper? Otherwise, users pay twice."
"24","NEUTRAL","Oh, whoever has believed that the STATE has firmly planned the 6 billion captured for the expansion of the networks, is now surprised to rub his eyes. As we know, the pleasures of politics always come first... then for quite a while nothing... and then only after the protests can no longer be ignored and the ship is sinking, the little rest for the subjects... in a country where we live well and willingly. 😤"
"25","NEGATIVE","That's great. First the state collects billions for licenses from the providers, then the providers take this money back from the customers and in the end the customer pays for the expansion of the networks. 
Who's losing? the customer/taxpayer. Nothing else can be expected from this government."
"26","NEUTRAL","@ Bernd S.: Everywhere customers ultimately pay the infrastructure. But first the state is stuffing its pockets and then it points to the evil telecoms companies. The DTAG also adds that the shop belongs to the Confederation.

It's all folly dumbling. It is not for nothing that D is at the bottom of infrastructure/network coverage and at the forefront of charges."
"27","NEGATIVE","I always find it funny to watch people when they're stuck in a radio hole like that. You could also deal with something else at that moment."
"28","NEUTRAL","Is there anything other than Facebook and WhatsApp?"
"29","NEGATIVE","Wow, a billion. Say one of our government's not doing anything for the infrastructure.
Well, if you deduct the consultant costs, I guess nothing remains."
"30","NEGATIVE","Isn't that a little little Kafkaesk? The government auctions the necessary licenses very expensive and then takes taxpayers' money to “speed up” the network expansion.
The population has once again doubled: expensive mobile tariffs, because network operators have to pass on the money of the licenses and then pay taxes so that the government accelerates the expansion of the network."
"31","NEUTRAL","How right they are with their finding."
"32","NEGATIVE","Our federal government is a layman acting force that shovels the money out of the window... we're all watching... but none of us dare to say anything..."
"33","NEUTRAL","With the cross in the right place at the next election, you can already say a lot. Unfortunately, 75% of citizens wanted it exactly that way."
"34","NEGATIVE","Unbelievable. €1 billion is nothing compared to the hundreds of billions that are thrown out of the window. And we had to wait so long for that to be implemented. I can't believe it."
"35","POSITIVE","First of all, it's decided. Until this is done, a lot of water will flow down the river Spree!"
"36","NEGATIVE","With the biggest problem is often enough the mature citizen himself, want to have everything super clean electricity, widespread mobile network, but when it comes to everyone and complain everything that takes forever binds resources and ultimately is still very expensive. However, the state must sometimes create facts, then such important things can be enforced without the quatter being able to shoot again and again in between."
"37","NEUTRAL","What about the citizens' initiatives that collect signatures against broadcasting systems?"
"38","NEGATIVE","That is yes times ne announcement, but whether that is enough and when it is realized, questionable... just too late, should have been done long ago..."
"39","NEGATIVE","Mr Braun also wants to profile himself and forgets to mention that during the negotiations on the basis of 5G, this situation could have long since been fixed by the bidding companies in contracts and thus resolved. Now the taxpayer pays and Mr. Braun smiles into the cameras. He took over this from Mr Scheuer, who smiles away his personal inadequacy in the job. And next to it, Mrs. Giffey, so that SPD and women can also see some of the dilemma. I think of Germany at night..."
"40","NEUTRAL","The Confederation will take 1.1 billion in its hands!! Not a word of tax money. It seems only possible to cover up problems with these same taxpayers' money, let alone solve it. With this idea, I imagine how problems should be solved when there are no more funds to be distributed!? And, as is the case of a Management Board of a AG when it comes to the shareholders and has to take account of them. Faith to solve problems with money and/or growth is erroneous."
"41","NEUTRAL","In this regard, I imagine how problems should be solved when there are no more funds to be distributed! “

Quite simple. Where it is not worthwhile to set up a mast, there will be a spark holes."
"42","MIXED","That was to be seen ahead! Anyone who gives sovereign duties to private individuals (healthcare, telephone, post office, etc.) knows in advance that there will be no holes left! The providers only make network available where it is worthwhile for them. In the “outback”, the taxpayer is supposed to take over the unprofitable himself. If the state submits such tasks to private individuals, it must, with waterproof contracts, ensure that the WHOLE country is provided equally by these individuals!
But it is precisely those who do not pay in the end the coal itself, or the citizen!"
"43","NEUTRAL","Internet is new territory for all of us - fast and fast..."
"44","POSITIVE","Only the plans to digitize the AfD have convinced me so far"
