"","sentiment","comments"
"1","MIXED","Actually, a sensible idea. Unfortunately, it is overlooked that a very large part comes without papers and therefore a return is almost impossible. How is it supposed to be handled?"
"2","NEUTRAL","Although this proposal sounds reasonable, there is probably neither a majority in the German government nor in the EU."
"3","NEGATIVE","Nothing will come out of it anyway.
All words and declarations of intent without a real chance of success.
Only top politicians can spend the lovely long day in this way..."
"4","NEUTRAL","And if the other states do not play along, then finally close the borders and indicate an end to goodness. 

I am sure that this communication will be understood by the rest of Europe.

There are people who understand only clear words and announcing the consequences that arise in case of non-observance. 

Not always play the good uncle. Our politicians are only obliged to Germany. 
No one else."
"5","NEUTRAL","The decisive statement: “If we don't make it right now, never.” 
So let's not assume it could work this time. 
Perhaps with a reformed EU (later, perhaps). Or even without the EU?"
"6","NEUTRAL","Migration gives our society an increasingly Arab-Islamic character. Migrants bring their own culture. Hardly anyone comes because he wants to integrate. So our society will be 
still drastically change. This change is somewhat slowed down by Seehofer's approach at best. It certainly won't stop her. More consistent action would be needed. Unfortunately, the EU is too weak for this. In addition, the left-wing camp obviously welcomes the transformation of our society."
"7","POSITIVE","Finally, an approach that points in the right direction. A good first step, please implement immediately!"
"8","NEUTRAL","Make plans whose chances of success are zero. The rest of Europe acknowledges the implementation of such plans with a loud laugh."
"9","POSITIVE","Of the other states.. this is logical... they are happy to lead everything on to us who have invited.. but also the other parties in the BT will laugh and block green quite surely and RR probably too."
"10","NEUTRAL","-Measures restricting freedom, if necessary, must ensure that the right to enter does not escape the pre-examination. - (World)
This is exactly what the migrants on the border in South-Hungary, which is so far demonized by the friends of total boundlessness. 

- Resistance of advocates of open borders will be violent. And on the other hand, supporters of a 'fortress Europe' are likely to be hard to convince of the quota distribution that has been strictly rejected so far. - (World)
The quota distribution will not come because confidence in the EU's political commission decreases from year to year, or the planned central state of Europe is becoming increasingly unfit. The euro as a core project gives greetings. He has already failed in his meaningfulness, he was the trap for I and GR. By the way, about 80% of the laws come from Brussels today in D. 

What Seehofer does is well meant. He can retire."
"11","NEUTRAL","Let's not bother ourselves. As long as Germany freely accepts migrants and attracts them with a generous social system, there is no need for the other European states to change the status quo. Waving through is just the simplest solution of all. I fear only when Germany threatens to close its national border, to reject migrants and to limit social benefits, only when the migrants are stranded in Italy, France or Spain in large numbers, only then will we seriously discuss a European solution."
"12","NEGATIVE","It's a shame. The post is only for subscribers. But without reading it, I think from Seehofers will come. Words, words and then nothing. 
What does he want to do if national borders are as permeable as the EU's external borders and are committed to UN migration trade? Germany (government) is not yet ready for less migration. Many millions are well planned in the EU."
"13","NEUTRAL","This article deals with a package of measures deemed necessary to combat uncontrolled migration. The difficulties of these package of measures have been identified and are identified.
The timing of political enforceability was optimistically judged to be “favourable”.
“If not now, then never”. So never (subjective).
So forget the article."
"14","NEGATIVE","'would already be “rejected directly at the external frontier”; in these cases, 'no entry into the EU'. '
Then people enter illegally."
"15","NEGATIVE","Master plan no....? I stopped counting. 
Are there any elections currently pending?"
"16","POSITIVE","So whoever still believes that this will succeed, I congratulate him on his naivety."
"17","MIXED","If you look at the enormous demographic development, then it will be clear that Europe will not be able to bear the burden of recognised asylum seekers in the coming decades, so it can only be a fortress Europe, the abolition of the right to asylum, but the recruitment of the urgently needed key workers as needed. to give it. All this will be a tough and brutal struggle because it will mean a radical break with the values of some. After fierce conflicts much more violent than we know them so far, this will also happen because the self-interest of the majority of the population will prevail over the values and morals of the “some”. My hope is that we will remain democracies and will not become dictatorships in the course of the development of a 'fortress Europe'. But there is nothing guaranteed, the more fierce the resistance will be to accept the factual, the higher the risk of authoritarian structures."
"18","MIXED","Unfortunately, gloomy, but unfortunately true, I completely agree with you!"
"19","NEGATIVE","... game over, for a long time... simply completely unbelievable Mr. S."
"20","NEGATIVE","Everything Horst announces is doomed to failure. So just forget the whole thing."
"21","NEUTRAL","... suppose it will be the same laugh number as his constitutional action, his upper limit or the immigration toll imposed by him!"
"22","POSITIVE","Warm air from the political announcement world champion. The reality arises from the graph. Resteuropa is brickling and laughing."
"23","NEGATIVE","Find the graphics shaking.
Germany cannot cope with this."
"24","NEUTRAL","@Andrea,
Europe cannot cope with this."
"25","NEUTRAL","Haha, they still did not realize that the other EU countries do not want a European solution at all, they are all too happy to wave their stranded economic refugees to Germany. The only thing you like to take away from the Germans EU far is our money."
"26","NEUTRAL","Unfortunately, it is so"
"27","NEUTRAL","Before the EU is convinced of the solution, it is possible to ensure that the persons and their descendants are excluded from the right to vote in DE.

It is only allowed to apply for nationality who has entered under controlled conditions and not - like these people - at their own request without prior registration. For the offspring, too, it must be clear that their status depends on that of the parents. Parents have to apply for citizenships for their children in the home."
"28","NEUTRAL","The only sensible asylum system consists in a rigorous isolation of the external borders! In Africa, the population will more than double by 2050, but how many millions can Europe cope with - 5? Ten? 50 or 100?"
"29","POSITIVE","Proposal for a solid 3-point programme
1 - forget the odds
2 - secures the EU's external borders, immediately and effectively.
³ - makes the deportations fast, real and not just on paper.

... or keep making it as harmless as before. AfD & Co will be delighted."
"30","NEUTRAL","With this advance at the latest, Horst Seehofer has put himself in position as chancellor candidate. With this strategic thinking and planning skill, no other politician can come up with at present. Hard times for Scholz and Habeck start!"
"31","NEUTRAL","I don't know.
On the one hand, yes. But the Union needs sufficient votes to do so.
But I don't know what's going to make me choose this party."
"32","NEUTRAL","Mr S. has achieved only one thing in his life. In 1997, a law amendment as Minister of Health. By changing the law, he gave the self-government back to the health insurance funds. At this time it is pure corporations and they will defend and retain their revenues with all the necessary means. Thanks for that..."
"33","NEUTRAL","It's okay, Horst...!"
