"","sentiment","comments"
"1","NEUTRAL","This is in a democracy so that majorities decide and not minorities or marginal groups"
"2","NEGATIVE","Oh, man, in this article it has to dawn even the last green voters that their eco-association tries to drive us at full throttle (from me also in a dizzy electric car) against the wall..."
"3","NEUTRAL","“We want 80 euros,” explained the delegates from Lake Constance.”

I offer 300, who offers more. It's like at the greens fair."
"4","NEUTRAL","That's funny: First in Germany, the main drivers to abolish nuclear power and then want to buy nuclear power from abroad on a large scale. That Habeck & Co. does not have a plan should become clear to the last one."
"5","NEGATIVE","But you put a lot of trust in your fellow human beings... I don't think the Green voters realize what they're doing"
"6","NEUTRAL","“At the end of the party day, Claudia Roth pitched the lectern to point out the consequences of climate change, including the “immeasurable loss of home”. 30 million people have already been displaced by environmental crises, said the Vice President of the Bundestag. 
...
It is not about bringing all these people to Europe, Roth assured. But the request it promoted and approved by the delegates states that climate change could “create situations that correspond to persecution within the meaning of the Geneva Convention — and thus establish international asylum law”.

Request adopted by the delegates. What does that have to do with the CSF? And something like that just goes through...

But anyway, we do not want to have this discussion here.

Only one thing is certain: if one day there are large numbers of extraterrestrials on this planet and ask for admission - the Vice President of the Bundestag will certainly welcome them all. Well, in two years she may not be in the Bundestag anymore, but we will surely hear a lot from her after that, whether we want it or not..."
"7","POSITIVE","Otherworldly! The whole programme is aimed at destroying prosperity and creating unemployment.
Well, if this country is no longer worth living, the issue of economic migration has settled!
A creative approach!"
"8","POSITIVE","After all we know today, the Greens only build on air castles and sand castles. NO ready-to-use eco-technology is capable of delivering the energy we need for electricity AND heating. This applies even to virtually priceless solutions. So we can't do without atom and fossil. At the same time, the Greens are pretending to be able to work climate neutral if we only build enough windmills and board panels from China here. Pure statistics. Of course, I can produce so much eco-electricity - which is not needed while it is produced - to brag about statically CO2 neutral. Time to make oneself honest and to stop throwing more and more money to the delight of international pension funds and counterparts for techniques that do not ensure basic load supply and thus are actually useless for an (still) industrialized country. An English politician once said that in politics there are lies, damned lies and statistics. That's where we landed. Unfortunately, large parts of the population - fired by the media - have fallen into a quasi religious eco-rush. Awakening will come and hurt properly."
"9","NEUTRAL","At a party congress of the Greens, the Dunning Kruger effect is shown in its strongest form."
"10","NEGATIVE","Many demands are so extreme that I would speak of “Fridays For NO Future”.
No industrialized country can exist completely without U, world infiltion,"
"11","NEUTRAL","Change apartments according to your own taste? Are you still okay? Will this be a kind of concealment tactic for the tenants, that their landlord no longer knows who is where and, if necessary, it cannot be terminated? If I don't know where Person X lives, I can't send a rent increase or cancellation or just an info. This, of course, corresponds to the red-red-green concept."
"12","NEUTRAL","Thuringia predicts 22% (media)
Result 6.8% (Official)"
"13","NEUTRAL","Um, I'm sure I'm not a green voter. But, of course, your media figures were not current. Can you give the institute a date where this was calculated before the election for Thuringia?"
"14","NEUTRAL","“In addition to the minimum wage, there should also be a minimum fee for the self-employed. “

As a self-employed person, at the best will, I can't pay off more than what remains after deduction of all costs... What's the use of a minimum fee? 

Absurd suggestion!"
"15","MIXED","I am not at all willing to finance unsuccessful self-employment (especially since criminals can and probably will exploit such a thing).
It is better to think about tax relief for more or less successful self-employed workers! But the Greens want to be on everything and still consider themselves liberal."
"16","NEGATIVE","It creeps you when you read this post. Cynicism and schizophrenia are all in one to hear the real-world energy industry by wind turbines from environmental friends and protesters. And the party congress is clapping, the media are cheering. Does anyone else understand that?"
"17","POSITIVE","I think it is good that WO is also giving up - mostly - critical voices here, which speaks for this media lighthouse. 
Nevertheless, I remember the past few months, in which the Greens were repeated and written up several times a day. That bothered me a lot back then. Also applies to WHO, which I just happened to catch on TV the other day: Every day a journalist falls in love with Robert H.

Dear WHERE, I think it is time to report on these unspeakably unrealistic green dreams and their fatal effects on the economy, jobs and the population actually working and keeping this state running, and the need to address the real problems of the To take care of mankind, such as overpopulation, support of the so-called Third World in solving its own problems on the ground, the fight against the causes of escape andandand. Such coverage would require courage and backbone - and that's what you have at WHO, right?"
"18","NEGATIVE","With the accepted request of our dear friend Claudia Roth, are now, in a seizure of power of the Greens (can you say that?) , the door and gate opened to tens of millions of people who will receive asylum as climate refugees. At the latest, I realize that our country will go down with the help of the Greens - I fear they will make it."
"19","NEUTRAL","And in Austria they are soon part of the government."
