"","sentiment","comments"
"1","POSITIVE","“Hello, rental cover!” means, above all, “Bye, climate modernisation!”. Say the Berlin housing cooperatives, who have been making flats without profit for more than 100 years, just as Vonovia & Co. Ramona Pop, the green economic senator, was the inspiration of the SPD mayor Müller at the welcome ceremony for the rental cover. 

While the Greens are constantly blowing “climate change, but pronto” through the Megaphone, so that the WRR and the Republic are only so roaring, they actively prevent that where they are in the government. And undismayed tell the fairy tale about the guilt of the Federal Minister of Construction Seehofer, CSU. 

At the same time, green commissioned researchers for G-20 (“Brown to Green”) note that with emissions in the building sector of more than three tonnes per inhabitant, Germany is almost 50 percent above the EU average and twice as high as the G-20 average. Overall, the emissions of the G 20 in no other sector increased as much in 2018 as in the building sector — by 4.1 percent. For example, the rate of refurbishment of the building stock must be five-fold for a climate-friendly course. 

The Berlin stock of old buildings is likely to play a significant role.

Mrs Kemfert and DIW: a case for you - please intervene! The climate would thank you!"
"2","POSITIVE","Well, I'm sure the RBerlin Senate will find a quick solution. For example, the expropriation and socialization of rental, construction and maintenance. Centrally controlled, everything works much better and cheaper."
"3","POSITIVE","@ TwoCents is even very well proven in North Korea, a model for all those who want to help Mrs Lompscher, ex-SED: clean roads without cars, everyone gets an apartment, goes without capitalism, if you only have a caring state. Mrs Lompscher, ex-Stasi chief official Holm, already has a counselor for solutions of this kind."
"4","NEGATIVE","logically thinking hard to think
But perhaps the left-wing parties (RRG) do not want to preserve the economy and prosperity, but create a super-poor and thus docile mass."
"5","NEGATIVE","I can quite understand the landlord and I find the rental cover frightening and actually in the wrong direction (socialism), but unfortunately the problems are really homemade. The greed of over 85% of the landlords was really shameless and absolutely predatory. No matter what area/area, any behavior sooner or later results in a consequence. And whining now is inappropriate. Change it for the future and keep measure!"
"6","NEGATIVE","“The greed of the landlords”, you really can not hear that anymore. Low interest rate, building codes, every year new great ideas, how the landlord can be tricked, no expulsion of building land, far too little new construction, etc. These are the reasons why the rents are rising. 
Every tenant could have bought an apartment ten years ago. But this is associated with risk, and the tenant does not want that."
"7","NEGATIVE","The rental cover becomes only a good thing. Traffic congestion and pollution are reduced as all craftsmen no longer have to go to work with their trucks.
“I'm sorry about the broken water pipes, but no one pays for my pay.”"
"8","NEUTRAL","Although I am not a landlord in Berlin, I have experienced similar experiences with our Super Chancellor Kohl. After the change, the people who have paid good taxes forced into a kind of forced investment in real estate in the new Länder. Who did not buy 50% special depreciation gave the state taxes.

After the price bimp after 7 years, rents fell from 14 DM to 7 DM. Even in Munich, where I was invested, prices had been reduced by 20%. It was a super minus business.

These are the qualities of our politicians! And today the Merkel, who allows us to pay the EEG allowance so that the energy companies can sell electricity without power, without which they have to pay in return. Or the departure from nuclear power without a concept. Or the scourge that makes money like a school boy and has to pay the penalties of the citizens. I can't see this pack anymore."
"9","NEUTRAL","The fear is unfounded. Berlin has long since fallen into decline and is only artificially kept alive through money mergers from the state financial compensation and political circus. Berlin, the “sexy bride” who is more zombilina than princess."
"10","NEUTRAL","Has there ever been a socialist thought that would not have led to chaos?"
