"","sentiment","comments"
"1","NEGATIVE","The system change is already fully underway, many just do not notice it at their own level. The impact of these changes will give this country a different face. And by that I don't mean “we can do this”. Those who, however, have given us this up, will no longer be there, or blame all other circumstances for their own failure."
"2","NEUTRAL",">> The Green Chief also called on the CDU to show a clear edge against the AfD and to stop cooperation, no matter what level. <<

Democracy sounds different. 
But I know this form of refusal of dialogue from the most personal experience in many so-called liberal circles."
"3","NEUTRAL","No one intends... system changes always start small and well disguised. Not to let the “expropriation sword” become blunt by frequent mention (Habeck, analogously, at the party convention) shows the blueprint of leading greens. The effect is already visible: in the housing market, in the automotive industry, in the education sector."
"4","NEUTRAL","Well, maybe it's good for the Greens to come to power. Then everyone can see how far the advance laurels are justified. 
I would make a bet that there would be no second parliamentary term with the Greens."
"5","NEUTRAL","I would rather bet that there will be no free elections, in any case, such as we know them..."
"6","NEGATIVE","I do not think that what a political party wants exactly is so crucial. The people are the sovereign, parties participate in the democratic formation of will, but are not empowered by the people to rule."
"7","NEGATIVE","It is always interesting that the smallest party in the BT gets the biggest media platform, but the only opposition that stands for German interests is attacked and discredited. What does this tell us as non-government citizens and as people who think slbst?"
"8","NEGATIVE","I feel it so that the AfD is called at every slightest provocation in the media."
"9","NEUTRAL","I assume that, as a citizen, I have a duty to resist such a “government”."
"10","NEGATIVE","For me, choosing this fatherless prohibition club would mean sending Germany to the abyss the fastest way."
"11","POSITIVE","There's a new game that won't go much faster with it."
"12","NEUTRAL","Bielefeld doesn't exist."
"13","NEUTRAL","What you want... what the population wants that counts."
"14","NEGATIVE","I see no end to the policy of open borders and no incentives for performance providers. Both together lead to the situation that a six-digit number of Germans emigrates and many others withdraw into private life."
"15","NEUTRAL","The CDU is not supposed to make the old mistake of going into coalitions that do not fit together. Another voter leaving would not be able to cope."
"16","NEGATIVE","True, so a coalition with the AfD would be fatal."
"17","NEUTRAL","What should be black and green, did Habeck not learn from the SPD?"
"18","NEUTRAL","What should be black-green? This question is easy to answer: if you mix these colors, you would get dark green, and the result would be even more green. And you have not fully understood this with Habeck and the SPD. He wants Chancellor. God, or whatever gods, keep this land from it."
"19","NEGATIVE","Unfortunately, due to the great wealth in Germany, there are many voters who can finance the huge climate package of the Greens. Poor is getting poorer."
"20","NEGATIVE","Well, I see a good, upscale middle class in my environment. I don't see wealth."
