"","sentiment","comments"
"1","NEUTRAL","Take Denmark as an example, dear politicians. If you don't know what you mean, get in touch with"
"2","NEGATIVE","What else can she say? Maas has let it go and now it will be delivered as agreed. Otherwise, we would have had to pay billions again and only for a short postponement.

Schmidt once said that a state must never turn itself out to be blackmailable. At that time it was about the Landshut affair. Merkel has abandoned this principle of survival. Fatal."
"3","POSITIVE","If Mrs Merkel says that there is no danger, that will be true. With the saying “We create that” she was right!"
"4","NEGATIVE","Almost at the same time as a - fortunately thwarted - planned attack by Islamists/Salafists, Ms Merkel would like to tell me that there is no danger from just such...
This “logic” does not open up to me! 
Honestly, I'm seriously wondering what's going on in that woman's head in the meantime... “normal” doesn't seem to me anymore..."
"5","NEUTRAL","Logic?"
"6","NEUTRAL","That's what she said in 2015!!!"
"7","NEGATIVE","The greatest danger is probably from the Federal Chancellor."
"8","NEGATIVE","How was that at Miri? That's when the Bamf had forgotten something in his report. On 15.11.2019 Erdogan outsourced about 40,000 refugees from Istanbul to the province because they did not have a passport. Where do you think they're gonna end up without a passport, with a fake passport? First Seehofer wanted to prescribe a calming pill. The safety is supposedly not at risk!!! Even from the Mediterranean refugees, without passport, without proof Seehofer wants to guarantee security! I think Merkel's basement is already underwater! Mrs. Merkel wants to calm down? Nightingale... Erdogan certainly didn't mention any negative details about the deported. He'd be stupid. I wouldn't do that either. The details will only be found in the German courts within 2-5 years."
"9","NEGATIVE","Why does the Chancellor have to comment on this issue?

“Do not worry” than their mouth means: dear fellow citizens it threatens danger."
"10","NEUTRAL","When will the woman be held responsible for her assessments?

It's time we asked for accountability. Go through point by point how and whether the demands of the people have been fulfilled. After all, we are the people (even if I no longer live in Dt.), we work out the wealth and pay taxes (me too), we should determine who lives with us, who is allowed to enter the country."
"11","POSITIVE","At the latest - when Mrs Merkel turns on - the alarm bells should be very shrill for all Germans. Sorry - I do not know otherwise to help me as an alternative to choose!!"
"12","NEGATIVE","Merkel says. Merkel claims. I haven't believed a word spoken by this woman in a long time. Especially in this case not. How can you make such an uncredible and unproven assertion? “There's no danger”? Is she psychic? Or does it rely on the “reliable” German “security system” consisting of constitutional protection, BND, BKA and the Federal Prosecutor's Office? Sorry, but I'm getting laughing cramps due to the relevant experience of the last five years. Best example of the case Amri."
"13","NEGATIVE","It hurts me in my heart, because human rights must, of course, apply to everyone by definition, but my pragmatic-realistic side is saying more and more often: The Americans are doing this with Guantanamo! It is horrible to say this because such a prison undermines the principles of the rule of law and humanity. Nevertheless, I often have the impression that our judiciary, which is designed for reintegration into society, is failing due to the fanaticism of terrorists and the incomprehensiveness and complexity of what has happened in Syria. People who were somehow associated with ISIS sometimes prophylactically (instead of whining about the fact that they lived for years in the “Caliphate”, but there is no proof of membership in the US) and acknowledging that fanatics and extremists are hardly reintegrated into society because their ideological Brainwashing can hardly be completely undone, important first steps would be! Important for the protection of ordinary citizens! But who cares..."
