"","sentiment","comments"
"1","NEUTRAL","The FDP has clear words. Oh, thank you. Unfortunately, it is hardly represented in the media - e.g. in the WRR. You could become dangerous to the preferred left-green “minions” with simple expertise?"
"2","NEUTRAL","Once again clear words from the FDP. “Staatswirtschaft” meets perfectly, roughly that is what Germany expects with GR2, but possibly also with black-green or green-black (even though the latter has become unlikely by now)."
"3","NEGATIVE","The economy needs rules.
This has nothing to do with state economy.
Without rules that apply to all, it is not progress but selfishness combined with regression in the social and environmental field
You can see where volunteering at the companies leads to nothing.
The economy and its lenders want only one maximum profit."
"4","NEGATIVE","As a reminder:
For ten years, we have built up a capitalism with no interest and money printing a gigantic bubble that has to burst at some point.
Definitely won't work in the long run."
"5","MIXED","The rental cover is supposed to have legal problems at the moment. They're talking about a federal matter. Has one or the other state government leaned a little far out of the window? It remains exciting."
"6","NEUTRAL","The first four articles in world online about the green party convention. That says it all."
"7","NEUTRAL","Can I get a pulse..."
"8","NEUTRAL","Talking when it costs nothing, and silence if it was necessary to open your mouth... this is FDP"
"9","NEUTRAL","The FDP always expresses its views on the important issues of daily policy."
"10","NEGATIVE","The social system that the Greens aspire to is nothing more than the ancient idea of socialism, slightly spiced up with eco-paint. An inflated state apparatus, central planning economy, mind-minded citizens, countless rules and bans, and a dilapidated economy would be the prospect. It didn't work in the GDR. The most recent example of the failure of this approach is Mr Maduro's Venezuela, where hundreds of thousands of desperate people flee the country in flocks. Never worked and will never work."
"11","NEUTRAL","Yes, would be like in China"
"12","NEGATIVE","Yes, Mrs. Teutenberg, let's leave everything to the market. The neoliberal will fix everything. Instead of such statements, a factual dispute would be necessary. Your party, my opinion, can nothing but keywords."
"13","NEGATIVE","Anyone who throws around with “neoliberal” unreflective should not blame others for using keywords.
But first of all, to acquire the basics of the economy."
"14","POSITIVE","It's so beneficial to hear common sense speaking again... thank you for that."
"15","POSITIVE","Yes, dear FDP, we have to! And they are welcome to do so consistently and loudly in the future, one wonders why not so far?"
"16","NEUTRAL","The FDP had a majority in the Bundestag and Bundesrat with the CDU. For electoral reasons, nothing was done and then the majority was gone. Since then standstill. The elite of the CDU and FDP have failed! Chancellor election club and lobbyists! 

It's funny. The former one-dimensional tax reduction party deals with the Greens throughout the day. Must hurt.

In the AKK against Habeck it is clear who will become Chancellor. I am already looking forward to the last desperate attempt by the Conseratives at the next CDU Party Congress.

No one needs the FDP. A liberal party does. It is the responsibility of the FDP that many did not care about the idea of freedom."
"17","NEUTRAL","“With AKK versus Habeck it is clear who will become Chancellor."" - Yes, Spahn. After AKK resigns and spahn then makes promises the AFD voters are likely to please. It is then easy to choose from parliament as chancellor without consultation or cooperation. With voices from FDP and AfD. Their voices then pass through appropriate laws, and the others are free to participate in other topics or they leave it."
"18","NEUTRAL","@Teuteberg demanded: “We must finally talk again about how we not only distribute wealth, but also generate it beforehand. “

Above slogan should memorize every green sympathizer."
"19","POSITIVE","I would vote for Mrs Teuteberg immediately."
"20","NEUTRAL","Because she would distribute the money generated to the right ones for her?"
"21","POSITIVE","“We must finally talk again about how we not only distribute wealth, but also generate it beforehand.” The basic problem of many red-green ideas, in a nutshell. Of course, you make friends with more retirement and a rental price brake. And the fight against the evil automotive industry is not only fond of FfF. So environmentally friendly. Free daycare is also pretty. Low prices for bus tickets also.
However, it is not enough to briefly express this criticism on the occasion of Bundeparteitagen dpa. There is a lack of a liberal-conservative cross-party initiative that makes itself felt in the public and gives a voice to those citizens who know that expenditure must be compensated by revenue, including expenditure on migration."
"22","NEGATIVE","For me, the Greens are the ones who say, “the electricity is coming out of the socket anyway”. Anyone who only cares about “green” but does not have to offer a coherent and economically prosperous concept for all other aspects of politics is no better for me as a party than a “car driver party” or “I just want a nice party”. Anyone who wants to find out about this and is looking for it on the Homegage of the Greens will not find a party program there for a long time, but it will be referred to its creation. Where's an old old one? Was there never one, or would you rather not show it? Where's the new one?"
"23","NEGATIVE","Where is the FDP? Always against it, no own profile and program. Sad"
"24","NEUTRAL","Oh in the Bundestag much comes from them, is often taken over by the CDU later than their own good idea, but before this was rejected, mostly by all parties. What's that?"
"25","NEUTRAL","Scarce, precise, put things in a nutshell. The CDU workers from Ziemiak to Kramp Karrenbauer should take tutoring lessons at Teuteberg.
In the rest, she is right."
"26","NEUTRAL","The new left - more sympathetic, bourgeois, younger than the SPD and without the burden of the SED"
"27","NEUTRAL","The green ones. Don't they also ask for daycare for free? In the conurbations - where they often co-rule - there were no daycare places, although since the 1980s the founding had repeatedly demanded this in elections and in the opposition. Now the federal government has recognized every child a statutory right to a daycare place. The result: People pay up to €700 or more? in Munich (red-green) for this place. If it is to be free now, it is, firstly, unfair to those who have had to pay the last decades, and secondly, these costs must be imposed on anyone. Fiscal social war? Example public transport: A mass transport that is not self-financed. Up to 80% subsidized. Logic of green: 1.) Further expansion with billions from the Treasury. 2.) A German citizen can afford a car and finance it himself (500 - 1,000 €p.m.?). However, the user of public transport cannot afford 50€- 250€. Is this normal now or already beginning mental illness? And instead of using the billions of motorists for the environment, social benefits are to be distributed to people who do not need it. Flanked by unrestrained accusations against motorists. I see what you have to do, but with antisocial means and lies to separate society again between good and evil is probably the last thing! It's a good thing when a young woman is responsible for doing something about it."
"28","NEGATIVE","If we do not curb the neoliberalism of recent years and we develop common social goals, the 'prosperity' will not help us to achieve it by far not all our fellow citizens. What is “prosperity”? Every 2nd year a new smartphone? If possible, “fat cars” to show his personal performance to the outside? Many flight hours a year? We cannot continue to produce “expensive scrap” just to preserve jobs. The lack of imagination on the conservative-right side of society about how to sustainably produce, live and make profits is already frightening. Just keep it up, it's no longer a good thing."
"29","NEGATIVE","We live in a state system where the state manages about 3/4 of GDP. And you're talking about neoliberalism? She can't be serious. All this junk exists only because the citizens can't afford normal goods. The state is taking everything away from you. That's why the junk comes from China and the washing machine for the yellow bag can only cost 200, -. Liberalism can be viewed roughly if the state manages 1/4 of GDP. At 1/2, one can still speak of a strongly socially marked market economy, with good will. And at 3/4, quite a few economists already speak of real socialism."
"30","NEUTRAL","Dream castles already exist in crowds. With residence permit. In many large German cities, around half of the inhabitants already have the WBS. Where else is this going to lead? 

ANGAR & BANGE is preparing for you."
"31","POSITIVE","True words!
Quote: ""Teuteberg demanded: “We must finally talk again about how we not only distribute wealth, but also generate it beforehand. “End of Quotation"
"32","NEUTRAL","None is taken away anything. She confirms the opposite. But nothing will change again."
"33","MIXED","It's easy for the Greens to promise or promote everything right now, only if you really need to govern who should say who should pay for all this. Taxes can hardly be increased! Isn't it?"
"34","NEUTRAL","Observe changes for precious metals from 2020. Still air upstairs."
"35","NEUTRAL","How is a party of dropout and prosperity provided to understand anything about added value? Values are just there for these people and just need to be distributed. Of course, you like to saw yourself, but discreetly, a thick piece from the cake."
"36","NEGATIVE","The last government in Germany that really did something was red-green. You won't experience your blue miracle..."
"37","NEUTRAL","Well, Mrs Teuteberg, you're not wrong. Only: what concepts do you or the FDP have? Criticism gains substance when you can present your own ideas/ideas. And that's what the FDP has lacked for a long time!"
"38","NEGATIVE","That's why they always jap at the 5% hurdle. On the last election, it was just before suffocation death... just like that. Pusher?"
"39","POSITIVE","Worth reading about the fact check “Prevent the Ecodiktatur” by Richard D. Precht im “Stern” from 24.10.19. He looks further than until the next legislature, does not float in the eco-heaven, as some forists describe politics, but brings facts from independent scientists. Even with the amazing radio survey in hr3, the Hessian listeners realized that e.g. winning Christmas Shopping flights to NY is no longer opportive! I'm getting bad after reports about e.g. endless consumption shows in China. Too many people, unthought-out consumption, the impacts come faster and more violent - fires in Australia, Florida, Venice flood, tornado in Hesse with thousands of drought weakened, uprooted trees, the list is already considerable this year..."
"40","NEGATIVE","Well, Claudia.
So the women's dream and Greta did it: I want you to get scared!"
"41","NEUTRAL","Quote from Henry Ford: It's not the entrepreneur who pays the wages - he just hands over the money."
"42","NEGATIVE","Right is se.
Just a little delayed."
"43","POSITIVE","I always like the Linda better! Right, prosperity must first be elaborated, but the green prohibition party has never understood that."
"44","NEUTRAL","germany is fine.
As a result, around 6.92 million consumers are currently unable to pay their bills. That is just under 10 000 less than in the previous year. Nevertheless, for every tenth adult, overall expenditure remained consistently higher than revenue."
"45","NEUTRAL","What are not included, are the starvation to make no debts or the ones who don't make debts anymore because no one lets it."
"46","NEUTRAL","We have reached a point where we should go new ways. We know the teachings of Conservative Liberals who prefer a primate ecology and its standstill.

The Greens, which I find refreshing, lack economic vision and competence.

My tip on this, you should hire economists who describe as C. Felber, the way to an economy where money and markets serve people again, instead of a primate economy.

Otherwise, the greens will be flatten by the primates."
"47","POSITIVE","I also find the AFD refreshing Dietmar A."
"48","NEGATIVE","The prosperity needs to be earned is obviously unknown to the actors in the red-green environment. They just live beyond reality."
"49","NEUTRAL","It's prosperity, you think..."
