"","sentiment","comments"
"1","NEUTRAL","The Greens have not understood how an economy works. They are almost aiming for a planned economy, if this party comes into government responsibility, then the lid is closed. Germany is at a crossroads, and the Greens will certainly not advance this country but to the Stone Age."
"2","POSITIVE","Na great, the economic program of the Diplom-Economist Habeck and the Dipl. Industrial Engineer Kobold-Baerbock can only become ingenious."
"3","POSITIVE","Na great, the economic program of the Diplom-Economist Habeck and the Dipl. Industrial Engineer Kobold-Baerbock can only be genial."
"4","POSITIVE","Anyone who does not consume anything (produces everything himself, what he needs) benefits the most. And if he gets something back from the pot, he can even earn. A large part of the economy is driven either into bankruptcy or abroad. There will definitely be beautiful distortions of the markets. I am already looking forward to the consequences today. But I don't think that won't prevail. It's better that way."
"5","NEGATIVE","A redistribution story. Most benefit those who do not need a car, little/not heat at all, never fly, do everything on foot or by bike or skateboard, never eat meat, hardly eat anything at all, at all chew/never consume, but get something back tax (lower income layers). It's a reward system for total waiver. The catch: Not everyone manages to repolate on total renunciation. Those who do not (want) do this should be in the majority. Those who have a very high income will continue as before. It doesn't itch when heating costs, consumption, flight costs double. But they won't get anything back. Apart from that, really benefit do of course all those who earn on this remodeling."
"6","NEUTRAL","You did not make your bill with the mass of pensioners who do not pay taxes.
If pensioners and pensioners, i.e. about 30 million voters, knew how politically strong they would be if they were to join forces, green fantasies, among other parties, would not have a chance."
"7","NEUTRAL","What is “climate policy” supposed to be? What should a policy address a problem that Germany (and all other countries) could never solve? We should go inside ourselves and turn back to a meaningful policy so that the future prospects become more rosy again. The beginning would be to remove Greens from responsible positions and deal with areas of responsibility where they cannot do any harm."
"8","NEGATIVE","However, there would not be many areas where the phankeys would be used."
"9","MIXED","The Greens have now clearly set out what their policies should look like in the coming years. One can get upset about it, or not, the decisive factor is whether the electorate can and wants to afford this programme. It is undoubted that it will be expensive for every citizen. How many can't afford it remains unanswered. The Greens may have an eye on the climate, at least not the ordinary citizens with a narrow purse. I dare doubt whether majorities can be formed in this way. Even now, many citizens can no longer pay the electricity bill. The number of real famines is so drastically increased. In one year, preparations for elections for the next Bundestag election will begin. If there is no normality until then, the BTW could lead to a big surprise. The three state elections in the new Länder were obviously not warning enough."
"10","POSITIVE","You have to leave one thing to the Greens, they stay true to each other. If the voters elect them, they'll get that policy too. There are also people who want a life like the Amemish people. Let everyone decide for themselves. The fun stops when you want to tell others how much CO2 they can exhale, how much beans they can eat per year."
"11","NEUTRAL","I predict that just before the next BT election green will again be just below 10%.

First of all, let the citizens feel the air tax associated with increased energy, electricity, gasoline, diesel, fuel oil, increased rents, etc., then they will wake up in their minds and turn green into a diabolo."
"12","NEGATIVE","I hope you're right. Nothing can be worse than the green or the left in a government."
"13","NEGATIVE","Greens are the great danger for Germany as a business location.
Green policy will be very expensive for us citizens.
Greens want to patronize us citizens and prohibit us.
Green belongs in forest and field, by no means in decisive politics.
For me, what comes from green is often irrational and far away the ratio and financiability."
"14","NEGATIVE","but nevertheless this party is hyped and elected - incomprehensible"
"15","NEGATIVE","Posters paint and demonstrate does not save penguins. Technical progress does. Poverty kills more people than climate, and market economy has - proven - led more people out of poverty than any other systems. Nuclear power plants are CO2 neutral, diesel cars are CO2 friendlier than gasoline. So what do you want? Green means socialism in camouflage, I'm afraid. In China, Russia, the GDR, North Korea, Cambodia and Venezuela, socialist systems have murdered 100th of millions of people in the last century, and have made them starve even more. And where is the green attitude against the real murderers in the communist and socialist dictatorships? Do we want Berlin relations?"
