"","sentiment","comments"
"1","NEGATIVE","the introduction of benefits in kind, instead of cash for transfers to the home, would not allow this problem to arise or minimize, for catering vouchers, no one changes the country."
"2","NEUTRAL","Mrs Merkel has so far allowed entry and onward travel for everyone, why should you change this policy shortly before the end of the chancellor? an air castle Herr Seehofer, but unfortunately real."
"3","NEUTRAL","I hear the message of bringing about effective European solutions to mitigate migration here... Alone, I don't have faith now. 

It is, moreover, good to refer to Europe if the limitation of irregular immigration is not achieved in your own country (despite existing legal instruments from GG and AsylG)."
"4","NEUTRAL","He cannot prevent Africans from entering.

In September 2019, the majority of the EU Parliament adopted a resolution on the “Fundamental Rights of People of African descent in Europe”. And this principle decision is far-reaching: it is not just the need for strategies to allow Africans to enter the EU in a safe and legal way. Numerous educational and support measures are also required by the EU member states.

One statement of principle reads: “People of African descent have contributed significantly throughout history to the building of European society.” Contrary to all historical realities, such claims derives an obligation of Europeans to welcome people from Africa indefinitely in Europe."
"5","NEGATIVE","Neither the wording nor the intention behind it is to me understandable."
"6","NEUTRAL","There are no majorities in Germany for changes in asylum policy, even the majority of the population still vote left and green. So many economic migrants will come and turn the social system upside down."
"7","NEUTRAL","The statements of Mr. Seehofer are the whistling in the forest. He knows well that there will never be such a regulation in the EU, because in such a case he will never get a majority for it, both in the EU and not in Germany. The affected EU countries are glad that Germany is so generous and that the migrants are getting rid of. There are certainly two parties in Germany that would oppose it. So hot air again."
"8","NEGATIVE","That's kind of nonsense. After all, a court has just ruled that it violates human dignity by reducing the benefits too much for Hartz 4 recipients who are unwilling to work. Ergo must be fed to EVERYONE who is staying here at the end. How are we going to cut the money for migrants now? That has 0 prospects of success."
"9","NEGATIVE","Does anyone really think that this is ever coming or actually being implemented?!"
"10","NEUTRAL","Seehofer: unauthorized onward journey SHOW! Typical hot air as always."
"11","POSITIVE","Simply abolish the all-round supply and is good. Pocket money for charitable work. But with all the left Green and Special Democrats, nothing can be done."
"12","MIXED","Better late than never, that's how it should have been done right from the start.
Unfortunately, I do not think that this new regulation will make it into practice. Hollow phrases, empty promises, substantive announcements... the usual.
The migration extremists are already in the starting blocks, and they will make sure that there are still a few dozen loopholes for illegal immigrants."
"13","NEUTRAL","Merkel has opened the box of the Pandora, every inhabitant of the earth knows that Germany's borders are open, even without papers a social holiday is possible. Now we can clearly feel the cost of this insanity. Only fortune knights and social freakers come to Europe by 90%. The right-wing parties are successful not only in Italy, France, Poland and Germany. Whether Seehofer will succeed this time is to be doubted, because the Greens, the SPD and the Left still do not want to recognize the seriousness of the situation. Apart from that who should implement Seehofer's project? Frontex? 
Perhaps Seehofer will find a partner Macron, who is currently moving to the right."
