"","sentiment","comments"
"1","NEGATIVE","The elites need the Greens to safeguard their interests, after the SPD can no longer guarantee a majority of government. This is the only way to explain propaganda for the Greens in all media. This propaganda will in all likelihood succeed."
"2","POSITIVE","Thoughtful sounds are good.
There is currently an early cold wave in the US. Winter chaos in the south of France and snowfall in Mallorca. Probably the NASA forecast is right, and we're heading towards an ice age. In order to slow down climate change, the motto will soon be: We have to turn completely over and release more CO2 into the atmosphere."
"3","NEGATIVE","Mr. Habeck their era is also coming to an end. With her statement: I can't do anything with Germany. I wonder what are they still doing in Germany."
"4","NEUTRAL","“How can they change the world when they cannot change their socks?” (Margaret Thatcher)

“When Robert Habeck takes off his shoes at the ICE onboard bistro, which he doesn't always, but actually likes to do, because he's probably more at home on trains than anywhere else, it can already happen and you can see the holes in his socks. He's not embarrassed about it. He looks at you like holes in his socks are the most normal in the world. They probably are, too. Only his associate looks first at his boss, then the holes on his feet under the table and finally at me, the journalist. His gaze is trying to forbid me from seeing all this. And of course I didn't see anything.” (Jana Hensel, “The Time”)

All about the topic..."
"5","NEGATIVE","Your opinion and polemic could have been saved. I wouldn't write about you either if you behave wrong. There is no longer a dispute about political issues, which is important in socio-political terms about our future, but only to make every downside."
"6","NEUTRAL","The bourgeois parties have never been as weak politically as they were at that time. So it would be time for the Greens to venture far into the political centre. It could, for example, make itself a prominent party for genuine democracy. This makes sense when talk shows call for “the regulation of freedom of expression” ircontradictory, or when AFD politicians (in general) “humanity” are denied. To my knowledge, Article 1 of the Basic Law also applies to terrorists who have committed a mass murder, and that is right! Both Merkel and AKK, Merz and Scholz are not really opponents for Habeck. Robert Habeck could win people's hearts. He could even reach conservative voters. If his party leaves him, Habeck could make the Greens the only people's party in Germany. So if it doesn't work now, when? In the mid-twenties (with a view to the 2026 election), the Union traumatized by Merkel will either have recovered or the AfD will have become the People's Party."
"7","NEUTRAL","“He could even reach conservative voters.” Probably not, as an important overall social issue is unfortunately lacking."
"8","NEGATIVE","What does Mr Habeck mean when he says “we become constitutionalists”?
These are completely new sounds. Or do I see that? 
He means something like unofficial employees (IM or just snitching). 
The left wanted to ban the protection of the constitutional. Probably for good reason."
"9","POSITIVE","Not right to housing but right to apartment, Mr. Habeck!!!
Just like in Austria, so that speculators can finally be turned the “Rooster”.
In Germany apartment is a commodity!?
You can also live in a cardboard box under the bridge..."
"10","NEGATIVE","CO2 emissions are clearly too low for living in cardboard boxes, especially in winter. That's why there's shelter for the homeless."
