"","sentiment","comments"
"1","NEUTRAL","The example of the Berlin rowers shows very precisely what a proper solution can look like. As can be read in the article, a parallel structure that eliminates discrimination was created with which the association resources were shared and, if necessary, an association of the two structures was not ruled out in the future.

Of course, this is not 1to1 transferable to other clubs, precisely this is the point that such appropriate solutions can only be developed along real needs and structures, ideology alone cannot do this.

Of course, it is easy, like Mr Scholz, to portray something undifferentiated as no longer contemporary and survived in order to propagate one's own “progressivity”, since it is also unnecessary to determine whether there is a factual reason for such a forced change, i.e. at all prevented concrete persons from entering such clubs. , but only when this is the case, there is a need for action at all.

Just as few pensioners strive to join the Jusos and are discriminated against by the age limit, the crowd to most other such organisations will also be limited. 

Uniting from pure ideology to impose such costly and laborious changes in the statutes does not help anyone, even the image of Mr. Scholz as a fighter for equality.

Association statutes and their implementation can keep undesired members away even without explicit designation, forcing more than such a detour will not be possible in such a confrontational way.

The idea that the state has the key to solving all problems is a mistake, even if the SPD program should read the opposite."
"2","POSITIVE","Hooray, the financial cashier will be relieved. And let's face it, that's the only thing that matters."
"3","NEGATIVE","Who is not against discrimination?
It is bad enough that the same disciplines in sport are played by men and, moreover, women.
You could save a lot of time if you only had to watch one instead of two 100 sprints.
The same goes for football: why a womens""man""shank and additional a men""man""shank? Wanted not a mixed football “people” shaft?"
"4","NEUTRAL","Apart from the fact that association attitudes are not carved in stone, in Germany (and elsewhere) it will probably take the same period of time as since this biblical event before the “Zeitgeist” in the population most of such tax adjustments to the socio-cultural realities can affirm."
"5","NEUTRAL","It should be the other way around. The clubs become a massive problem for Scholz and the SPD. Someone really believes that people let themselves destroy their culturally formative traditions without resilient. With its steady left shift, the SPD is moving further and further away from its former voters."
"6","NEUTRAL","The next step towards the abolition of diversity and diversity. In doing so, “left” should advocate such a thing."
"7","MIXED","It's good that we don't have any more pressing problems, but the people must be engaged."
"8","NEUTRAL","Traditions can be shared, why not? Anyway, if the associations are to be co-financed by the state. That's what I expect as a taxpayer. If you don't want that, you should drink your beer privately. Drums, horseback riding, fishing can be men and women. In Germany, we are just at least 10 years behind the other EU Member States, 30 years behind the Americans, which is due to our 100-year-old association law and the German association history. They laugh at Germany: how are they in Germany? Even the bullfighters invited women to join. Of course there are mono-clubs elsewhere, but not state-funded, with the adventurous reason: We want to stay as we are and you should pay us. No, no."
"9","POSITIVE","Although I am not a member of such an association, I benefit greatly with my family because they organize events in the village, the St. Martin Train, the Carnival Train and the Fair, some of which have been for over 100 years. Of course, these are non-profit associations. I don't care what other countries do. I want our traditions to continue to be maintained."
"10","NEGATIVE","This is as unnecessary as a goiter, perhaps one should consider reducing the remuneration to Mr Scholz until something sensible is said again."
"11","NEUTRAL","In our weekly skate round, no women are allowed and are never allowed. Once a week three hours of fun without women's supervision I will not let myself take away and the charity can be..."
