"","sentiment","comments"
"1","NEGATIVE","Youth protection is apparently a new profession with a prospect of the future. 
Young people will always try to cross and question certain limits. A youth filter is absolutely ineffective, which almost everyone knows someone with an older sibling with access to all the information you want. It is more useful if parents spend a lot of time with the children.
In part, it is rather shameful what can be seen on TV between 18:00 and 22:00. Thus, sexual early education in kindergarten and school cannot start early enough. This is a double standard when WhatsApp suddenly calls for parental protection. Teenagers will seek sexual images, from a certain age. Often it starts very simply with animal videos. However, with WhatsApp, you suddenly need a control. 
A class chat is very easy to control, if the teachers click in, then there is no content that is not to be found there."
"2","NEGATIVE","I myself, through a Schuelerchat initiated by a Schuelerin from the heinrich-sigmund privatgymnasium in bw, received hate messages and devastation - anti-constitutional material. A musicians' chat became a vehicle for hate and incitement. I went to Kripo HD over a year ago. The schoolteacher showed and she flew from school after a reminder from the youth welfare office. However, the headmaster responded too late and showed me when I wanted to settle for trespassing. Very curios.Since the young people no longer have respect in intermediate and high school and good handling was not taught in school or in the net. Only with the fiftklaesslers there is still hope that they can take more with them in terms of media literacy. 14-17 years old are sometimes already messed up in bad manners. Grade on private high schools are poorly behaved. Teachers can no longer educate because of demand. Youth goes down the creek partially."
"3","NEUTRAL","All available online. It would be hoped for the current otherwise unanimous aspirations of exclusion as political-media outrages. There is only no demand for online-analytika and content-management."
"4","NEGATIVE","I don't want to be a child anymore. 😒"
"5","NEGATIVE","I graduated from school 11 years ago and there were already such discussions at that time. There were bullying victims, which were done over the Internet, accordingly SchülerVZ, MSN & ICQ, which is no longer used today. 

And now, after all this time, we're still talking about it, and the whole society pretends to not know what to do? 
For example, how long have video games been in place and how long is it known that they can be addictive and pose a risk especially for children and adolescents? It is known for a long time and it can be seen even to the most inclined parents that children are more likely to develop a gambling addiction than to use other drugs. 
Did something happen in this respect? No! No! 
There are still insufficient resources and infrastructure to assist children, young people, their parents or schools in these problems. 
We write the year 2019 and still children grow up without any structural role models, it's sad."
"6","NEGATIVE","I think the problem is not that children are watching and sharing things today. I find the problem there was already before the mobile phone and internet time. At the beginning of 1990, for example, I borrowed the Nürmberger Prozzese from the library at the age of 10. So you could look at such horrible pictures as a child. It was not necessary to believe the parents. Today it's only worse because the possibilities have improved. But the problem is old. A.F"
"7","NEGATIVE","If you borrow a book from the Bib, that's your personal problem. Whats app content can have hundreds of participants. The spreading goes much faster and essentially the content is taken over unreflective."
"8","POSITIVE","As the father of five children, four of whom have already grown up and the youngest is just a little puperting. Computers know our elders children still with black and white monitor, 5 1/4 inch floppies and 1 MB (!) Main memory for operating system, programs and data. After BTX, the first browsers used Netscape 2.0. Contrary to the recommendations made by “experts” only years later, we have left access completely open to all children without family filters or other restrictions. You could have viewed or downloaded everything on the Internet at any time. Our attitude was and still is: We trust you that you will not do everything you could do. You are responsible for what you click and look at. It is your soul that you ruin or not!
This concept has worked up to this day: the consistent abandonment of direct and indirect control enabled an atmosphere of trust, responsibility and voluntarily adhered to rules. Not a single failure in well over 25 years! Our children have access to everything, including bank accounts, through knowledge of passwords. 
What are we doing wrong?"
"9","POSITIVE","Thank you for your contribution.

No, you're not doing anything wrong. She and her family are apparently an association of reason. 
Unfortunately, many parents are apparently unable to live such an attitude themselves and thus continue to convey it to their children.
Our son doesn't have a filter on his phone either. However, we are in constant exchange with him about the content he looks at. At the moment, we have restricted his access to the phone because his behavior was too “addictive”. Meanwhile, he has swallowed the restriction, especially since he aims at a high school recommendation, and he understands that he can only spend his time once.
Let's see if we can leave his cell phone like this again soon. I hope that it ripens to such a extent that it limits its use by itself."
"10","NEUTRAL","With regard to the content mentioned in the article, the first question arises as to the empathy of children and adolescents."
"11","NEUTRAL","“At Tom's school, for example, says Tobias Knopp, responsible use of smartphones has not been a topic in class or project days.”
For parents, of course, school is to blame instead of grabbing their own noses"
"12","MIXED","A topic solidifies when it is addressed by several sides. Since your own child may have already learned this and gets porn in the first break. So the problem could be reduced if there were rules and information in school."
"13","NEUTRAL","The big bosses from the tech giants have already publicly stated that they would give their children a smartphone at the earliest at the age of 14 and then only temporarily. Why? Because they know exactly that the daily use of smartphones or tablets in young people has a negative impact on brain development. Highly recommended on the topic, Prof. Dr. Manfred Spitzer, Why make mobile phones stupid: https://www.youtube.com/watch?v=oLCOzpwuYE8&feature=emb_title"
"14","POSITIVE","@Ankica S.: Thanks for the valuable hint!"
"15","POSITIVE","I honestly find everything half as wild. Sure, no eight-year-old needs WhatsApp, but if 13/14-year-old teenagers send a couple of Hitler memes or porn jokes, what the hell? They're trying to provoke, and they're doing it for exactly that reason. Because it's “edgy”.
Of course, this does not mean that you just give them a mobile phone and say “do it”, education is important, especially in relation to topics such as nude pictures, revenge pornography, etc. But here, my opinion is the parents in duty, not the schools.
Cyberbullying is also such a topic: Cyberbullying exists because children/teenagers want to bully someone and discover an additional “channel”. Without a mobile phone, there would be one dimension less in which the whole thing is going on, but the problem is not solved. Again, mainly the parents of the mobbing children are in duty. If they vehemently explain to the teachers that their little angel would never do something like that, the school can hardly do anything."
"16","NEGATIVE","“... send teenagers some Hitler memes or porn jokes, what the hell? “
If my parents had known 35 years ago what we were playing on our first c64 for games, they would have confiscated the thing. “concentration camp simulator”, “Raid over Libyia” etc. Jewish jokes, brutality and porn were already there. Neither me nor one of my buddies from back then became a Nazi or a killer today. Kids do something like that. Just because it's forbidden."
"17","NEGATIVE","The children, who sometimes already have smartphones with the enrollment, are masterfully able to operate them, but they cannot cope with the contents. I am for my club and about acquaintances in dozens groups/chats etc.,... I am completely overwhelmed with ü40. Maybe I'm too old. Who knows. Although I don't get such crass stuff sent, but in part it is also borderline and I wonder what this is supposed to be. Children simply should not have such unfiltered and unsupervised access to the Internet. Even if this is difficult to implement."
"18","NEGATIVE","What is the school supposed to compensate for everything that is missed at home? Teaching a child decency, respect and morality is not the task of school but of parents. Therefore, today parents should regularly check children's computers and smartphones, geanuso as my parents used to check out which booklets we had hidden under the bed or elsewhere. This has nothing to do with lack of trust or unauthorized interference with the privacy of the children, but simply with the parents' parental education mission. What is it called so beautiful? “Trust is good, control is better”.

In a paper yesterday, Mrs Friedrichsen complained that the judiciary is lagging behind social developments, for which the problems presented here are a prime example. The age of 14 for the punishment of young people is simply no longer up-to-date at this point, as is the application of adult criminal law only from 21 years. As soon as the first ten-year-old spends his summer holidays in a prison instead of swimming pool or family holidays, this should also have a lasting impact on him or her and his/her school friends. 

And since most of the children's smartphones probably belong to their parents, or at least the corresponding mobile phone contract runs on their parents, it should be possible to punish the parents if the offspring shares violence or child pornography videos. Getting the child benefit cancelled for one year might remind some parents impressively of their parenting assignment. 

But these solutions are probably too easy to find. This is where our policy prefers to deprive harmless men's singing and womenrowing societies of non-profit - another article today, which makes me as a normal citizen swallow the comb."
