"","sentiment","comments"
"1","NEGATIVE","I think it's like this:
For me, the top priority is, or my greatest concern is a timely and sufficient pension, 
Point
In second place is or is my safety important to me,
my personal as well as that of my belongings, point.
No satisfactory answer to my worries one and two, no voice from me.
It's not negotiable. 
Dot!"
"2","NEGATIVE","“... As the only party the Greens lose two percentage points to 19 percent in the week of their party day in Bielefeld...”. If we were to tell the reader where the 2% remained, I would be fully informed. However, interest in such surveys may not last longer than 24 hours."
"3","NEGATIVE","The bottom duck effect will soon faded out when people realize that they do not benefit from it."
"4","NEUTRAL","This grundrente is snoop guuut. Every politician wants that instead of his pension."
"5","NEUTRAL","“Groko” wants to support newspaper publishers massively and we taxpayers have to pay it!
Whose bread I eat whose song I sing.
In the future, publishers are expected to receive up to 645 million euros in government subsidies secretly, quietly and quietly. This also places them on the chain of state grants
- media distant from the state are being marginalized.

The influence of opinion continues to take its required course!"
"6","NEUTRAL","The CDU/CSU and the FDP could quickly push the AfD below 5% again. Buy yourself some reasonably reasonable AfD people - like the SPD with Otto Schily at the time. Potential candidates: e.g.: Meuthen, especially if he is overthrown by Höcke, Lucke would also be a candidate. Both the CDU/CSU and the FDP had already had a national-conservative or national-liberal wing - something like that is called the People's Party. Equal change of staff at the CDU/CSU to Merz and at the FDP to Graf von Lambsdorf."
"7","NEUTRAL","A few voters have been lured by the SPD. But the big end is still coming, because the taxpayers will bear the costs, and that's all of us. 

After all, the basic pension would not have required if the low-wage sector and temporary agency work had not been massively expanded under the leadership of the SPD. That's the real reason for the basic pension. 

Let's think about what the SPD is doing right now. 
1. The pension is increased for a part of the needy. 
2The low-wage sector continues to exist, even if it is the sg. minimum wage. 
3 people continue to work for little money and should get something in old age.
4 The retirement age will therefore continue to rise, otherwise the costs will rise too much.
5 The German Michel is asked to pay even more strongly. 

German politics consists only of eye-catching"
"8","NEGATIVE","“After the European elections they had climbed from 18 to 27 percent within a week”

Seems like some kind of Schulz effect. All of a sudden, one party shoots up in all polls - actually for no reason - without a reason. Which is then confirmed by no choice. And afterwards sackts then back together to the old value...

Neither Brandenburg nor Saxony let alone Thuringia has left only one percentage point in the election of what the Greens had allegedly increased from the European elections - including in the polls on the LTW.

What was still reasonably explainable in the SPD by the new “top candidate”, in which one quickly saw that it was only hot air, there is no rational explanation for this with the Greens."
"9","NEUTRAL","There's the explanation.
In the Bavarian election it was the Hambach Forest. Then Greta and F4F. In the first two Eastern elections, forest deforestation in the Amazon became the theme of the hour. 
The Greens use the media to focus on their topics shortly before elections. However, how seriously they take these things can be seen by how quickly these issues are forgotten."
"10","NEGATIVE","“Greens fall below 20 percent”
I'm very sorry about that now. Why do the Greens not resort to the time-tested means to turn the whole thing again? New taxes for all who vote wrongly/Surveys are banned/Higher levies on wrong voting behaviour."
"11","NEGATIVE","Every week new opinion polls with different values to find out who might be
just once in an election in two years, the chancellor - would like - to put.

And this with a plus/minus 2.5 percent error rate.

What a waste of money for simple party politics..

At the moment everything is clear we have 1 party with approx. 25-30 percent and 3 parties with potential
for 15-20 percent, then another 2 10's candidates.

Therefore, Groko- KleinKo is no longer mentioned, but only 3 covenants are mutually uneven
Participate are possible, whereby 2 are completely excluded.

Surveys therefore only help internally and should therefore only be carried out at large intervals
, so that day-to-day events do not become more and more questions of fate and the
Citizens sometimes have time to let something sag in terms of content."
"12","NEUTRAL","The whole discussion on the redistribution of money is like a dispute in the sandbox. If nothing is done in terms of educational politcs, there will soon be nothing to distribute. If Deutschlabd is to remain liveable, it is also important to invest heavily in terms of integration & penal enforcement, as well as in terms of care for the elderly and medical care. The better educated will not otherwise vote at the urn but with their feet. Sprinkle this sand in the eyes through politics and medisn must stop.
With regard to migration and integratuon, solutions have to be found, as long as nothing sustainable is done here, the Afd remains strong. It is not strong because the voters are evil people, because due politics disregards their concerns and the population is eating down."
"13","NEGATIVE","Looks like black-green-red!"
"14","NEUTRAL","Black-red-yellow would be too. Scholz will certainly be part of it, but the Greens will also go on the kecks with their miracle bag and populism. If the Greens make Annalena the top candidate, this coalition would be virtually inevitable. Well, I don't see the Greens yet. Habeck's Schulz effect (in the final phase) is already clearly recognizable. In the Bundestag elections, the Greens are again at < 10% - as in Fukushima. All they have to do is carry on with rental covers, expropriation, homeopathy, destruction of our industrial site, magical energy policy, farmer bashing, bashing car users, etc."
"15","NEUTRAL","How is it that pensions are higher in all comparable European countries? Who in Germany receives the surpluses of flattened pensions?"
"16","NEUTRAL","Who does: the numerous guests of course!"
"17","NEUTRAL","The SPD must urgently take care of where the jobs of the future are.
This issue is a core topic of the SPD together with the trade unions.
The salvation of the world climate can be left to the Greens."
"18","NEGATIVE","Jobs are not created by politicians, but by companies. Politics can only create the framework conditions to create incentives for new investments and jobs, but unfortunately, politics does exactly the opposite.

Rental covers, threats to expropriation, financial transaction tax, eternally expensive electricity and other energy, CO2 tax, increasingly absurd laws due to particulate matter and others, tax increases and other anti-economic mischief. 

The SPD is the completely wrong party. If then could only the CDU and FDP, but for this the CDU would have to finally return from their left thruck back to centre/right and that I see under Merkel or an AKK unfortunately in very far distance"
"19","NEUTRAL","If you don't get it slowly. Many major projects are made of SPD. Hartz made the labour market fit, and the minimum wage has brought many out of ramschlöhnen. 15 percent is too little. Million pensioners are now being better placed."
"20","NEGATIVE","So honestly, I find 15 percent far too much for the SPD!"
"21","NEUTRAL","If it helps the poor SPD, you can even put a couple of billions on state companies."
"22","NEUTRAL","41% trust at least one party not only to cause problems but also to solve them?
Well the idealists probably never die out; -)"
"23","NEUTRAL","Pension contributions (input) are very high in D and payouts are low.
In most countries, contributions for the future are calculated 30 years in advance.
to finance higher pensions. I see little air up there. Better management with revenue is essential for the future."
"24","NEUTRAL","Rudolf B.
Wrong approach.
It is not about the pension isolated, because a state budget is pay-as-you-go and the pensioners are not paid out what they once paid in.
We have a simple statement of income/expense, and we have too many costs on the expenditure side, which are also caused by people who do not pay or pay in, as well as exorbitantly high expenditure, for example, for diets and public servants, then you have to save on the weak, the pensioners. 

Just take a look at the pensions:
who pays how much 
who gets out how much.
The fake argument with too few children gets settled quite quickly.

Actually, it's a cheeky.
We pensioners should show what power the older generation still has. Pension should be the central issue for pensioners in a choice."
"25","NEGATIVE","I don't trust the basic pension. For me, this is the first step towards a single pension. Please do not misunderstand that I am giving less paid citizens a relatively carefree end of life. I just don't trust our government to do anything to benefit the people. I only hope that the result of the Greens will be right and will continue to decline rapidly."
"26","NEUTRAL","Do you think this basic pension comes at all?
So far, she doesn't have any,
wait for a while."
"27","NEUTRAL","With red-green, the SPD has lowered pensions, with black-red it returns something again. This is a trend in Germany - for decades. Fight the blacks and when you are in power, redistribute the money of companies and citizens."
"28","POSITIVE","I've always said that the cake is always 100%. It depends on how you distribute it to your friends."
"29","NEUTRAL","Every week I change my opinion which party I choose, sometimes the Greens, sometimes the Left, sometimes the CDU and sometimes the SPD are my voters.

Unfortunately, none of these opinion research institutes asks me about my opinion. You'd have to report new values every week."
"30","POSITIVE","I NEVER change my mind!

I live in Germany and have been German for generations.

I never change my mind on Germany."
"31","NEGATIVE","She will lose this 1 -2% in the next 4 weeks. Only in order to collect percentages, it has put even more pressure on the pension system, even if the money is to come from elsewhere.
It is an injustice without equal to people who have paid in 45 years and all this without means-testing, because what else is not. This SPD should disappear as soon as possible, it has done enough and the CDU is doing all this."
"32","NEUTRAL","@heike w: Did you remember that many people were only in need because the red-green government cut pensions? Isn't that unfair? And are there not many who do the same job or do more than others, but only half to one-third receive benefits - in proportion to the benefits for the others?"
"33","NEUTRAL","Mathematics tells us where it could go:

Left bearing: SPD GREEN LEFT 43%
GROKO PLUS: CDSU SPD FDP 50%
Theoretically: CDSU GREEN FDP 54%

Whether Merz does the experiment CDSU GREEN is unlikely.
So again GROKO now with PLUS. The FDP will be Merz better than the SPD with Scholz. And the SPD will rather bite into the sour apple Merz than go into the opposition.

What it could do for us?
We have two more years, “look, “Emperor Franz would say now."
"34","NEUTRAL","No, Miguel, the SPD will no longer coalise with the CDU. Then it would be final and for everyone downstairs. I never believe she does."
"35","NEGATIVE","The SPD has done a lot wrong - and still does a lot wrong. But it does not deserve one thing: to be replaced by the Greens, who, in a populist manner - what they always accuse their political opponents - capitalize on citizens' fears, with the promise of simple solutions to complex problems. So good news, when the green hype is now subside."
"36","NEUTRAL","But Ariadne, she deserves it. Just look at this politician like Maas, Scholz, etc. I hope it will be below 5% very soon. Then they can reposition their chancellor candidate."
"37","NEUTRAL","With bacon, you catch mice. The election gifts seem to arrive."
"38","NEGATIVE","@Lars R. That was not a bacon, but just a little return what was taken away under red-green."
"39","POSITIVE","I'm glad that the SPD gets better forecasts again."
"40","MIXED","That's what it was about. But the resuscitation will only take a short time..."
"41","NEUTRAL","“SPD benefits from basic pension”
Sorry, but for the basic pension you have to work at least 35 years, right?
I can't see that for the best sake of this party. Okay, actually, not at any party. No basic pension for the parties. 😁"
"42","NEUTRAL","So about 150 years?"
"43","NEUTRAL","Typically SPD. In a week, introduce a bit of basic pension and at the same time the CO2 increase in price. The bottom line is getting more expensive for the voter."
"44","NEGATIVE","Bemaba, according to WISO, already now goes from every euro over 49% to the state through direct and indirect road storage...
Means: As soon as climate tax madness takes place, more than 50% of every euro created is gone!
It's nice that the crap comes before the next big election, everyone can think about whether there's still money left for green politics..."
"45","NEUTRAL","SPD benefits from basic pension, greens fall below 20 percent

That the Greens lose, it's okay.
The SPD cannot win with your blackmailing policy either."
"46","NEGATIVE","Not so important - as long as the AFD continues to dump at 13 percent"
"47","NEUTRAL","The AfD has been dumbling at 13% for years, and as I know, the Greens have driven in Thuringia 22% for this. Anna-Greta-Habeck has already received congratulations from President Clinton."
"48","NEUTRAL","Comic statistics, despite the huge profits of AfD in Saxony, Thuringia and Brandenburg, the nationwide value should be stable. I don't think so."
"49","NEGATIVE","Saxony, Thuringia etc do not play a role, thanks to their number of inhabitants. Also, there are no gigantic gains for the AFD if you compare with the last Bundestag election/ The zenith has long been exceeded."
"50","MIXED","With the figures of the Greens it is evident that some of our fellow citizens now notice that it has been exaggerated with the topic “climate”... it is certainly important but it arouses in parts in a hysterical witch hunt without practical solutions, sense of reality and above all a social discussion because only a Opinion is true in ecological circles and in the media... Germany is and remains an industrial nation and the people here live on it even though it does not fit many in circles of the Greens... not everyone can live in Freiburg and lift a position in the university and think about how they manage to take away the jobs..."
"51","NEGATIVE","Why without practical solutions? It's now in the form of the CO2 tax. Everything went according to plan."
"52","NEGATIVE","Maybe some voters like me also got a habeckphobia? Against this omnipresence (dear world, only now when opening WO, Mr. Habeck looked at me three to four times) and also the content homage, one must almost be scared and reading my utility bills cannot calm me down."
"53","POSITIVE","Muaahhhhh. Oh, thank you. 😂"
"54","NEGATIVE","“As the only party, the Greens lose in the week of their party day...”
Did my fellow citizens also receive mail from the electricity supplier?"
"55","NEUTRAL","Yes, “we have to tell you... price level no longer to keep... EEG..”"
"56","NEGATIVE","That's going to last 14 days. Then the subject is forgotten and the percentages tumble back into the basement."
"57","NEGATIVE","But the money stays away permanently."
"58","NEUTRAL","N-TV Interpretation: Survey results hardly change...
Fortunately, the AFD has remained with persistence at the 13% for years.
Understand who wants, we don't."
"59","NEUTRAL","In the East the numbers are rising, in the decisive West less and less the AfD vote"
"60","NEGATIVE","Why is the pension not calculated Like that of the politician. Does not stand somewhere before the law all are equal?"
"61","NEUTRAL","Why politicians. It would be enough to calculate pensions like the pensions of officials. So after 40 years 71.75% of the last salary"
"62","NEUTRAL","The basic pension is the big litter!
OR?
“ONLY” about 53 years, a social security worker must pay into the pension fund if he gets exactly the average earnings to get on the pension equal to the minimum pension (5 civil servants years,1,700 euros, no means-test).
probably not the big litter!"
"63","NEGATIVE","Nobody prevented them from becoming an official, but now scold on it? I absolutely can't understand that."
"64","NEUTRAL","The SPD does not rise because of the basic pension, but in the bad and cold weather the Green voters do not switch to the CDU but to the SPD."
"65","NEUTRAL","The popularity of the Greens increases or falls under the spectre of “climate heating” proportional to the outside temperatures. In this respect, it is used in the 
go downhill next few months. To the values
of this party, one should prefer the weather frogs 
questioning."
"66","NEGATIVE","@Josef L: Hopefully it won't get that warm again next summer."
"67","NEUTRAL","The task of the governing parties is to put on the agenda the issues really fundamental for Germany rather than those with which one can quickly catch a few voices in self-generated needy people. The basic pension is a great example of this. It is a rejoiced new part of a completely outdated pension system and is going down with it if it is not fundamentally reestablished. It is also proof that the ridiculous financing base with income from a law that does not exist yet and that no one knows if and what it will look like is being coiled by the CDU, so that the SPD can score again for the preservation of the Posten-Groko, which is rejected by the majority of citizens."
"68","NEGATIVE","@Ralph R: See it athletic. Everything that was taken away from the citizens of 1998 - 2002, they now partially get back. And an outdated pension system? The system is already good, but the adjustments were not made peu à peu and not in time. This is the case when you need majorities and want to be in power. This is so since???"
"69","NEUTRAL","Now the SPD only has to abolish the unjust agenda 2010 and it's going to be something with the SPD?"
"70","NEUTRAL","With the #ungerechtenAgenda, the SPD laid the foundations for Germany's economic success."
"71","NEUTRAL","“SPD benefits from basic pension,” one must strongly doubt this, just a statistical fluctuation. ""Greens fall below 20 percent lose 2% “, well every drunk comes to an end then the “hangover”."
"72","NEUTRAL","Mrs Dreyer therefore describes a basic pension with 10% above the basic security, i.e. around €880, - as a socio-political milestone. If you had a pension after 35 years, you could have guided yourself to the minimum pension of €1.660, - after only 5 years of service"
"73","POSITIVE","I like to say it again and again. Nobody prevented them from becoming a civil servant. But in hindsight also get upset about that that can not be done at all."
"74","NEUTRAL","SPD benefits from basic pension! If she even comes! 
Where did the money come from? 
Pension insurance now relies on high federal subsidies!"
"75","NEUTRAL","Although it is called basic pension, it is not financed by pension insurance.
In contrast to the maternal pension, which is financed by pension insurance, to which certain groups of the population do not pay. 
I have two siblings: a national officer and a soldier. In the pension insurance, from which my parents' pension is financed, only I pay three children from us."
"76","NEUTRAL","Should the basic pension now hide the shouting injustice introduced by the SPD and the Greens with the H4 reforms?
How many employees have been kicked into the social side after some decades of having paid in the unemployment insurance scheme?"
"77","NEUTRAL","First introduce a large low-wage sector with the unjust Agenda 2010 and then try to fix something."
"78","NEGATIVE","These Bö (r) sen games.
Without any sense and mind, put the thermometer in somewhere and slipped around.

Politics as an opinion game."
"79","NEUTRAL","Wow a 15% percent party can charge all of Germany 50 billion in additional taxes and captivate half the economy.
I think we're about to end"
"80","NEUTRAL","Many media, education system, churches and trade unions, as well as the other left-wing parties are also on their side. In addition, not everything is bad about the climate pact, expansion of charging stations, for example, is good."
"81","NEUTRAL","What these survey evaluations are worth, we all experienced during the elections in Thuringiance,
Will you stop the theater?"
"82","NEUTRAL","True, no institute has seen The Left over 30%."
"83","NEUTRAL","Margaret Thatcher described the problem of the SPD policy as early as 1976.

“The problem of socialism is that at some point you run out of other people's money.”"
"84","NEUTRAL","The basic pension is undoubtedly a merit of the SPD. It remains to be hoped that the SPD will succeed in presenting this success to the public."
