"","sentiment","comments"
"1","NEGATIVE","#Tom B. The way I see the thing, but this only works when people are in the performance context. Those who live on their assets or the income of the partner, or those who still have a job (but in a dying industry), do not receive any support. This shows all the myopia of the current policy of the Jobcenters, which, of course, act on instructions from the Ministry. Furthermore, this is one thing at your discretion, and there is no legal claim."
"2","POSITIVE","Many people like the idea. Scholz gets the chance of a further education. Cleverly thought..."
"3","POSITIVE","I don't like Scholz, but here he has a meaningful idea. Anyone who has “stealthy” in youth gets a second chance. Job change. Much more useful than turning the minimum wage screw. At the age of 18, many do not know what they can or want to do for a job. At 30, that's clear. But there is no possibility to learn something else. In order to prevent abuse, a part could be granted as a loan. The height of a Spätbafög would also be dissuasive. Regular young students have less than a frittenbrater at MacDonalds. Therefore, abuse would be rather rare. Presumably, this will only be a pipe crap. Nahles also had a similar idea. Little resonance. The SPD main line is less education-oriented. In the last election campaign on the posters “Education must not cost anything except a little effort”. The focus is on -little-. Speak - the SPD voters do not like to learn. Nevertheless, no one should deconstruct the way. Who with 40 years for 4 years instead of 2000€only accepted 900 and after that stands better has earned respect."
"4","NEUTRAL","“can do a new vocational training even at the age of 41 or 52”
Then this is the direct march into the basic pension?
The ARGE had a 'Action 50+' some time ago, which did not really change the placement of well-trained jobseekers because they often did not fit into the work teams or the works council did not grant permission because younger workers were no longer given contracts.
The 52year-olds should probably be retrained because the 25-year-olds have not received an apprenticeship and have found their life goal as dropouts in Hartz4?
What do the big employers say about these ideas? Is this even feasible if every larger group is dismantling jobs and digitalization makes thousands unnecessary?
In any case, a 52 year old student does not fall into unemployment statistics..."
"5","NEUTRAL","Reduce unemployment rates on paper. Anyone who is involved in retraining is not unemployed. Money for the facade."
"6","NEUTRAL","I also got a great idea: How about a number of politicians taking a degree or an apprenticeship first. Because I don't feel like letting some unskilled people make rules that, due to ignorance and inability, spend millions of taxpayers' money on advisory firms."
"7","NEUTRAL","Politicians are just the faces of a party.

There is the scientific service of the Federal Government - equipped with experts from various disciplines. Why you don't ask there instead of using consulting firms doesn't seem to me."
"8","POSITIVE","The 52 year old is studying once again until retire- Great idea!"
"9","NEUTRAL","- Of course.

As long as he studies, he is not one of the unemployed in unemployment statistics"
"10","NEUTRAL","Mr Scholz thinks of his own future when the SPD stops hiding ministers and the number of well-paid deputies decreases"
