"","sentiment","comments"
"1","NEGATIVE","The AFD is not consistent, I just write “” Landolf Ladig “”!
It would continue with calbitz, and who just recently bought a house with the identities?!
The list is infinite."
"2","NEGATIVE","Mr. Scheil uses mainly primary sources for his būchers or publications by international military historians, such as J.F.C. Fuller or Sir Basil Liddel Hart.I cannot understand what is to be reprehensible."
"3","NEUTRAL","“I can't understand what should be reprehensible”

Lutz E., One possible answer can be found here:

Quote:
“It will be about “lies”, at the beginning of November at the Ingolstadt Volkshochschule, about “The Lebenslügen der Bundesrepublik Deutschland”. This is the name of the lecture that the historian and Rhineland-Palatinate AFD politician Stefan Scheil wants to give there. In science, he is considered to many colleagues as a “revisionist”, who tries to relativize Germany's guilt during the Second World War. The former head of the Center for Anti-Semitism Research in Berlin, Wolfgang Benz, accused Scheil of “using history only as a raw material for ideological constructs”. For example, he constructs an aggressive war policy in Poland or interprets the raid on the Soviet Union as a preventive war.”
(End of Quotation)

Source:
https://www.sueddeutsche.de/bayern/hauptredner-gilt-als-revisionist-im-ruch-der-geschichtsklitterung-1.3718949"
"4","NEUTRAL","I am concerned with the question - why did 25% vote for the Hocke in Thuringia and only 21% vote for the Mohring? Yeah, why?"
"5","NEUTRAL","Monika R., A possible answer to your very good question may be found in the darkest chapter of Thuringia's history.

Quote:
“It was the beginning of the rise of the Nazi Party and Adolf Hitler. In Weimar's nationally minded bourgeoisie, the propaganda of the National Socialists fell on fertile ground. In Thuringia, they also celebrated their first parliamentary victory: after the Landtag elections of December 8, 1929, the NSDAP was involved for the first time in a country's government. Wilhelm Frick became the first National Socialist Minister of Germany. On January 23, 1930, he was elected Minister of the Interior and National Education by the Landtag. And he left no doubt as to where the journey was going. During his term of office, he anticipated the dictatorship established throughout Germany from 1933: he cleaned up the civil servants and occupied important posts with Nazi trustees. Erich Maria Remarque's success book “Nothing new in the West” was banned for all schools and libraries in the country, school prayers were introduced against the “contamination of German people by foreign racial unculture”.”

“Under the National Socialist Interior Minister Wilhelm Frick, pictures from the Weimar museum collection were sorted out as “degenerate art” in 1931. At the same time, the National Socialists pushed forward the exchange of personnel in the police and the state administration.”

“Especially the petty-bourgeois milieu felt fear at the height of the Great Depression to lose everything again after World War I and inflation. On 26 August 1932, Fritz Sauckel, the Weimar Gauleiter of the party, was elected Prime Minister.”
(End of Quotation)

Source:
https://www.mdr.de/zeitreise/mustergau-thueringen-100.html"
"6","NEUTRAL","It is more than regrettable that the AfD obviously continues to drift to the right and thus there is no more conservative alternative to the CDU & CSU, which the citizen can still vote in good conscience."
"7","MIXED","The media are not innocent of that. If, for years, all members are equated with Nazis, then those who do not want to endure this equality - that is, the Democrats. Those who don't care about the Nazi comparison are left behind.

Thus, thanks to the media, AfD is slowly becoming more and more of what the media has called it for years. Quasi a self-fulfilling prophecy."
"8","POSITIVE","Mr Höcke also has his place in a vibrant, growing democracy."
"9","NEUTRAL","favete linguis, In a court ruling, it was stated that one can rightly call a certain AFD-Hocke as a fascist, on the grounds that his writings clearly show that he has a fascist attitude. Thus, this certain AFD hock has a lot to do with fascism and not the slightest of a “living, growing democracy”, as you wrongly claim!

Quote:
“In addition, it has been 'sufficiently credited' that the designation was 'not taken from the aerial, 'but is based on a verifiable factual basis.' The applicants had presented quotes from a book by the AFD politician and press reports to the court.” (End of Quotation)

See more here:
https://www.welt.de/politik/deutschland/article201103984/Bjoern-Hoecke-darf-Faschist-genannt-werden-ueberpruefbare-Tatsachengrundlage.html"
"10","POSITIVE","I dare to predict that Mr Höcke will still have a great political future!"
