"","sentiment","comments"
"1","NEGATIVE","Short announcement: Anyone who thinks to insult the author will be blocked."
"2","NEUTRAL","I got police!"
"3","POSITIVE","Dear Frédérik Schwilden. You invent something like that, or it really happened. I would have guessed you in first class. Personally, I had not had to gain such experiences on the train - thank God - yet. On the contrary: rest, or conversations or mothers with their children I see what you don't see and it is... For me, this is the social center. They describe a few young people who express their energy surplus in socially dubious form. But degrading them to potential criminals? Your arrogance about the future career profiles? Ts Ts Ts. And what did they mean by using drugs and having sex? On the street, in the rehab clinic or just a harmless joint? Guys are here. You should already have some general education. And if your own government imports “people” who have cut others's necks, raped and tortured, cannot even be held accountable because there is no evidence... Let the youth celebrate. Only a few people in this country are punishable."
"4","POSITIVE","These bieder-bourgeois football fans are the ones that will keep Germany running in the future. Precisely because they are so bodily and conscientiously do their daily work. To me as a woman, these football songs growling medium-sized companies prefer to read so many other passengers. I even feel safer with them on the train than without them."
"5","NEUTRAL","Do you have children yourself, Mr. Journalist?
Have you ever listened to the lyrics of any rapper correctly? 
Do you think the fact that young people who are training and don't use drugs are bad?"
"6","POSITIVE","I recently drove on a train on a weekend where a lot of young people drove to Cannstatter Wasen. Since I am not particularly interested in this festival, I did not think that it will take place in Stuttgart on the weekend. The dressed young people fell in the train station, some were already drunk, and during the trip was diligently drunk. Beer cans rolled empty through the train, it was sound by means of Bluetooth - boxes anyone who wanted or didn't want party music in deafening volume. The doors were not kept open, the train could only reach its destination with delay. As much as you give the young people their fun, their sheer recklessness not only annoys, but also makes them angry. In this respect, I can understand the author. What I absolutely can't understand is this artificial panning to humps or refugees who may feel threatened. Also, that on the skin color of the young people is ridden around and their clothes, I feel superficial. The author thus shows that he suffers from precisely the prejudice he seemingly tries to impose on others artificially. There are enough reasons to get angry about drunken party goers: the garbage, the noise, the ruthlessness and the nonsense they give away. But to create raccists who want to frighten women and refugees with brutal songs, I find that extremely dragged by the hair."
"7","POSITIVE","I totally agree with you, the author criticizes something of which he then makes use of himself and by his commentary “I have police!” shows how much he accepts criticism."
"8","NEGATIVE","What an incredibly arrogant, inhumane and alien stud, who is out of his own echo chamber with the cheapest applause. So future bank racks and dental assistants are the ugly Germans, because they let the sow out in a party mood what young people think. Doesn't everyone fit in your morally overwhelming drawer and that's good? What do you have to offer besides an extremely narcistic indignation as a constructive contribution to society?"
"9","NEUTRAL","Which generation wasn't afraid of the next one?"
"10","NEGATIVE","“When I see you, I'm scared. Not right in front of you, but from what's inside you, what you're letting out now. Why are you singing about hanging, slicing the belly. Why do you want everyone to hear that? “

So the author - and with the question attached - it is the same as with the other train passengers: is not my problem why< - oder hier die Rückfrage: >everyone? We hear ourselves, that's enough. And if in the football stadium, then it's the counter-fans - quite so<
So I see the core of the problem - the radical, empathy-free selfishness, as an individual and as a bubble group. And this is described with such a psychological explanation only superficially - this goes much deeper."
