"","sentiment","comments"
"1","NEUTRAL","“Lashet would be a candidate for Jamaica”. 

From me, he can run in Jamaica! 😂"
"2","POSITIVE","Lashet? Jamaica? I think it's good. If he stays there, I'll pay the flight."
"3","POSITIVE","I can imagine Mr Laschet in all the coalitions, because he is very volatile!"
"4","NEUTRAL","Let's not be true, let's get from the rain into the eaves! Don't get anything baked here in North Rhine-Westphalia"
"5","NEGATIVE","Laschet is nothing more than a male Merkel. Nothing would change, but he doesn't seem as incompetent as AKK. A change cannot be brought about in this way."
"6","NEGATIVE","Lashet. Maybe it's good for Carnival Prince. But that's it. Casserted incompetence in all important issues, such as energy and migration policy, digitalisation, justice reform and internal security, the environment. Please, not this loser."
"7","NEUTRAL","If Laschet comes, the system remains Merkel and goes Germany before the dogs!
It's that simple!"
"8","POSITIVE","Laschet stands out only because of his beautifully worn cufflinks..."
"9","NEGATIVE","Lascher Chancellor? No, and 1000 times no. What can he, besides making beautiful speeches, evaluate with a lot of gestures and master theses that he has not read, but collect (Aachener TH). No charisma! Predestined as a CDU candidate? No, no, no, no, no."
"10","NEUTRAL","Mr. Laschet should rather take care of NRW... roads, hospitals, kindergartens, schools, etc. make new jobs Germany lucrative for investors...!"
"11","NEUTRAL","How about Mr. Frigelj, before you post new articles online, edit and release the comments on your last “Gangbangs”. There must be several obstacles. Otherwise, you can turn off the comment feature in your articles, saving everyone involved time."
"12","NEUTRAL","That's true, Mr Laschet would be a candidate for Jamaica. However, I want a candidate for Germany. I hope that the FDP will remain steadfast and the CDU will set up a candidate who will clearly position itself against green socialism. That would be a miracle, but otherwise this party died for me too."
"13","NEUTRAL","I haven't believed in Wundrr for a long time"
"14","NEGATIVE","Completely overestimated and almost unknown. Merz has to do it now and not until 2021."
"15","NEUTRAL","He prevented RRG in North Rhine-Westphalia, but that is also his only merit. In the two and a half years he or his government did not succeed. North Rhine-Westphalia is becoming increasingly decaying. There must be a strong CDU candidate who can defeat the Dachelblick-Habeck with competence."
"16","NEUTRAL","That is why Laschet will succeed Rüttger in full: no re-election in North Rhine-Westphalia and disappear in nowhere."
"17","NEGATIVE","Laschet is colorless, saying nothing, without contours. We've had enough of this kind of politician and I'm sick of it."
"18","NEUTRAL","Armin Laschet is just as unpopular as AKK. According to polls and rightly so, I think. As a reminder, his strongest argument in North Rhine-Westphalia was “red-green-preventing”."
"19","POSITIVE","Laschet is a Merkel-Claqueur and thus this CDU policy, which is insolvent in terms of content, continues. That would be a blessing for the AfD, which would continue to benefit. AKK would also be great, only Merz could bring back some conservative voters. Because of the massive violations of this government, they will never regain my voice and that of my friends and acquaintances."
"20","NEUTRAL","I have also chosen the CDU all my life. I'll never vote for her again."
"21","NEUTRAL","With such a colorless Claqueur Merkelscher policy, the CDU would have an opportunist as chancellor candidate, who has what it takes to deepen the alienation of this party from its old regular electorate."
"22","POSITIVE","Strongly formulated!"
"23","NEUTRAL","I'm sure he wouldn't get my voice. But since only the party stands for election and the BK is elected by the Bundestag, this will only be what if the parties move further towards the Unity Party."
"24","NEUTRAL","Laschet would be Merkel 2.0!"
"25","NEUTRAL","“Laschet pursues his own political agenda,” said Markus Söder fortunately, and this was much better than Anne Will did."
