"","sentiment","comments"
"1","NEUTRAL","First of all, starting to think would be a step. What's true is that D, and hence the Groko, has no strategy. The main thing is to distribute what supposedly there..."
"2","MIXED","Think of the middle class and cheap energy. That's big enough for now."
"3","NEGATIVE","Ridiculously not saying anything!!!
 Has the kindergarten politician ever worked something??? 
... offspring hope??
 Rather direction 5% accelerator"
"4","POSITIVE","Don't think big... just and meaningful would be a start."
"5","POSITIVE","People are ready!"
"6","NEUTRAL","“Think bigger! “No Mr. Amthor probably most people have long not expected this from the CDU and certainly not until a sustainable social consensus is finally found in the migration policy that is overshadowed by all areas.
The disappointment of uncontrolled immigration and its consequences for four years has long become resentment, rejection and loss of confidence. 
Annual spending of €50-70 billion on refugees at the expense of all taxpayers, loss of prosperity, security, rising crime, overwhelmed authorities and a deeply divided society are no longer acceptable! 
In view of these circumstances, the CDU should be a requirement - small, but legally compliant, consistent action in migration policy rather than thinking bigger! That's what the citizens expect!"
"7","NEUTRAL","Somewhere you learn to talk a lot without saying anything. Again, there is only the youth form of self-employment of the CDU. You'd have to... Politics. 

The CDU is still in power and can act. If the federal government becomes as ungovernable at the latest in 2021 as in the last state elections, then “Good Night”.
The CDU has only one chance to use the year 2020 to act with the more conservative forces such as Mr. Amthor, thereby reintegrating the conservative protest voters into your electorate in 2021. As a routine interim man, Mr. Merz is at the helm of clear words and then builds up a young successor.
But this also includes already in 2020: 
Tax reform fast, top tax rate again at five times or even ten times average income, then also like high
Abolition Solos
Internal security through genuine police presence and systematic enforcement of existing court decisions/administrative decisions
Real accelerating laws in the infrastructure sector, where not every association with state subsidisation by the authorities is allowed to sue; judges who make clear and quick judgments and, if necessary, are protected by ministerial decrees
End with the redistribution, performance must be worthwhile again
Solar systems and storage of electricity for private households
Technology openness

Let's go, but not until 2021! Now it's true!!"
"8","NEUTRAL","How did he get into the Bundestag?"
"9","POSITIVE","The right question!!!! 👍"
"10","NEUTRAL","Can you expect that from him too;)?"
